Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
CUDA,1,512,512,512,0.333753,0.264626
CUDA,1,512,512,1024,0.482313,0.225715
CUDA,1,512,512,1536,0.661111,0.228425
CUDA,1,512,512,2048,0.746255,0.408548
CUDA,1,512,512,2560,0.929874,0.543741
CUDA,1,512,512,3072,1.03957,0.367762
CUDA,1,512,512,3584,1.21945,0.387431
CUDA,1,512,512,4096,1.33045,0.284904
CUDA,1,512,1024,512,0.487017,0.022629
CUDA,1,512,1024,1024,0.732479,0.279388
CUDA,1,512,1024,1536,0.93743,0.571514
CUDA,1,512,1024,2048,1.14244,0.604158
CUDA,1,512,1024,2560,1.38918,0.377829
CUDA,1,512,1024,3072,1.59213,0.602071
CUDA,1,512,1024,3584,1.82332,0.287106
CUDA,1,512,1024,4096,2.02711,0.519415
CUDA,1,512,1536,512,0.590327,0.258962
CUDA,1,512,1536,1024,0.913903,0.328639
CUDA,1,512,1536,1536,1.20604,0.350756
CUDA,1,512,1536,2048,1.50236,0.537353
CUDA,1,512,1536,2560,1.85522,0.288575
CUDA,1,512,1536,3072,2.13645,0.596831
CUDA,1,512,1536,3584,2.44828,0.426314
CUDA,1,512,1536,4096,2.75023,0.307964
CUDA,1,512,2048,512,0.773014,0.501497
CUDA,1,512,2048,1024,1.19991,0.488781
CUDA,1,512,2048,1536,1.59619,0.412683
CUDA,1,512,2048,2048,1.95681,0.32604
CUDA,1,512,2048,2560,2.34289,0.577876
CUDA,1,512,2048,3072,2.71296,0.354365
CUDA,1,512,2048,3584,3.10637,0.463301
CUDA,1,512,2048,4096,3.47917,0.394717
CUDA,1,512,2560,512,0.886992,0.612062
CUDA,1,512,2560,1024,1.40766,0.390112
CUDA,1,512,2560,1536,1.85476,0.414846
CUDA,1,512,2560,2048,2.29831,0.390971
CUDA,1,512,2560,2560,2.77501,0.49711
CUDA,1,512,2560,3072,3.23052,0.492828
CUDA,1,512,2560,3584,3.69277,0.287454
CUDA,1,512,2560,4096,4.14844,0.571068
CUDA,1,512,3072,512,1.07022,0.365192
CUDA,1,512,3072,1024,1.64017,0.501032
CUDA,1,512,3072,1536,2.18191,0.399475
CUDA,1,512,3072,2048,2.70662,0.4301
CUDA,1,512,3072,2560,3.23332,0.380649
CUDA,1,512,3072,3072,3.78313,0.608567
CUDA,1,512,3072,3584,4.32982,0.506453
CUDA,1,512,3072,4096,4.85298,0.368626
CUDA,1,512,3584,512,1.1954,0.434315
CUDA,1,512,3584,1024,1.84374,0.479871
CUDA,1,512,3584,1536,2.47744,0.546039
CUDA,1,512,3584,2048,3.07678,0.575425
CUDA,1,512,3584,2560,3.71097,0.609171
CUDA,1,512,3584,3072,4.32522,0.529759
CUDA,1,512,3584,3584,4.94752,0.597779
CUDA,1,512,3584,4096,5.52312,0.425747
CUDA,1,512,4096,512,1.37142,0.495172
CUDA,1,512,4096,1024,2.10677,0.469532
CUDA,1,512,4096,1536,2.80482,0.403784
CUDA,1,512,4096,2048,3.51429,0.392055
CUDA,1,512,4096,2560,4.23257,0.444368
CUDA,1,512,4096,3072,4.87718,0.487265
CUDA,1,512,4096,3584,5.52579,0.468332
CUDA,1,512,4096,4096,6.20834,0.615315
CUDA,1,1024,512,512,0.516184,0.077869
CUDA,1,1024,512,1024,0.729663,0.421406
CUDA,1,1024,512,1536,0.967601,0.457582
CUDA,1,1024,512,2048,1.19297,0.566455
CUDA,1,1024,512,2560,1.42504,0.451989
CUDA,1,1024,512,3072,1.63376,0.48364
CUDA,1,1024,512,3584,1.85863,0.305101
CUDA,1,1024,512,4096,2.08141,0.56709
CUDA,1,1024,1024,512,0.73993,0.089195
CUDA,1,1024,1024,1024,1.05402,0.456437
CUDA,1,1024,1024,1536,1.37943,0.508704
CUDA,1,1024,1024,2048,1.68597,0.416258
CUDA,1,1024,1024,2560,1.998,0.444946
CUDA,1,1024,1024,3072,2.30911,0.449195
CUDA,1,1024,1024,3584,2.61935,0.402015
