Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
OPENBLAS,0,512,512,512,3.20716,1.16666
OPENBLAS,0,512,512,1024,6.2189,-0.088993
OPENBLAS,0,512,512,1536,9.22543,0.018525
OPENBLAS,0,512,512,2048,12.7337,0.145354
OPENBLAS,0,512,512,2560,15.7364,0.359245
OPENBLAS,0,512,512,3072,19.3768,-0.162401
OPENBLAS,0,512,512,3584,22.5691,-0.270917
OPENBLAS,0,512,512,4096,25.6882,-0.812964
OPENBLAS,0,512,1024,512,6.44943,-0.080709
OPENBLAS,0,512,1024,1024,12.6789,-0.125669
OPENBLAS,0,512,1024,1536,19.0347,-0.267813
OPENBLAS,0,512,1024,2048,25.3775,-0.49917
OPENBLAS,0,512,1024,2560,31.3889,-0.367517
OPENBLAS,0,512,1024,3072,37.9431,-0.783895
OPENBLAS,0,512,1024,3584,44.1092,-0.862046
OPENBLAS,0,512,1024,4096,50.1559,-1.19091
OPENBLAS,0,512,1536,512,9.5836,-0.184489
OPENBLAS,0,512,1536,1024,18.9499,-0.444995
OPENBLAS,0,512,1536,1536,28.5254,-0.611796
OPENBLAS,0,512,1536,2048,37.4786,0.106081
OPENBLAS,0,512,1536,2560,47.3489,-0.824342
OPENBLAS,0,512,1536,3072,55.5008,-0.574966
OPENBLAS,0,512,1536,3584,65.4028,-0.115012
OPENBLAS,0,512,1536,4096,74.2079,1.00547
OPENBLAS,0,512,2048,512,12.8018,0.105165
OPENBLAS,0,512,2048,1024,25.2625,0.029666
OPENBLAS,0,512,2048,1536,37.5599,0.002825
OPENBLAS,0,512,2048,2048,49.3319,-0.350264
OPENBLAS,0,512,2048,2560,62.6119,-0.198506
OPENBLAS,0,512,2048,3072,74.4775,0.964064
OPENBLAS,0,512,2048,3584,86.5572,0.79813
OPENBLAS,0,512,2048,4096,98.2361,0.623562
OPENBLAS,0,512,2560,512,15.8536,-0.101485
OPENBLAS,0,512,2560,1024,31.143,-0.402304
OPENBLAS,0,512,2560,1536,46.0566,-0.352828
OPENBLAS,0,512,2560,2048,62.5214,-0.959195
OPENBLAS,0,512,2560,2560,77.7351,0.329849
OPENBLAS,0,512,2560,3072,92.0396,0.053327
OPENBLAS,0,512,2560,3584,109.293,0.223997
OPENBLAS,0,512,2560,4096,122.453,0.426656
OPENBLAS,0,512,3072,512,18.6898,-0.453182
OPENBLAS,0,512,3072,1024,37.1116,-0.520447
OPENBLAS,0,512,3072,1536,55.4162,-0.211771
OPENBLAS,0,512,3072,2048,73.3758,0.709974
OPENBLAS,0,512,3072,2560,91.6631,0.96066
OPENBLAS,0,512,3072,3072,110.738,0.410058
OPENBLAS,0,512,3072,3584,128.492,1.16099
OPENBLAS,0,512,3072,4096,146.621,1.06507
OPENBLAS,0,512,3584,512,21.9938,-0.120351
OPENBLAS,0,512,3584,1024,43.2513,0.263075
OPENBLAS,0,512,3584,1536,64.5425,0.26668
OPENBLAS,0,512,3584,2048,85.3465,1.21161
OPENBLAS,0,512,3584,2560,106.987,0.395725
OPENBLAS,0,512,3584,3072,128.868,0.732268
OPENBLAS,0,512,3584,3584,149.904,0.69337
OPENBLAS,0,512,3584,4096,171.212,0.487993
OPENBLAS,0,512,4096,512,25.1167,-0.289064
OPENBLAS,0,512,4096,1024,47.2146,-0.049292
OPENBLAS,0,512,4096,1536,64.1237,0.312472
OPENBLAS,0,512,4096,2048,85.449,1.06457
OPENBLAS,0,512,4096,2560,106.563,0.630743
OPENBLAS,0,512,4096,3072,127.702,0.182894
OPENBLAS,0,512,4096,3584,148.898,0.833704
OPENBLAS,0,512,4096,4096,170.111,0.933559
OPENBLAS,0,1024,512,512,5.66213,0.247826
OPENBLAS,0,1024,512,1024,11.0392,-0.879235
OPENBLAS,0,1024,512,1536,16.1707,0.07132
OPENBLAS,0,1024,512,2048,21.5262,0.011322
OPENBLAS,0,1024,512,2560,26.8544,-0.071672
OPENBLAS,0,1024,512,3072,32.3701,0.145963
OPENBLAS,0,1024,512,3584,37.7275,-0.006622
OPENBLAS,0,1024,512,4096,43.2162,0.21654
OPENBLAS,0,1024,1024,512,11.3033,-1.34919
OPENBLAS,0,1024,1024,1024,21.4998,-0.114408
OPENBLAS,0,1024,1024,1536,34.1847,-0.430221
OPENBLAS,0,1024,1024,2048,49.7808,-0.753457
OPENBLAS,0,1024,1024,2560,62.5837,0.18271
OPENBLAS,0,1024,1024,3072,75.3496,-0.727911
OPENBLAS,0,1024,1024,3584,87.2989,0.038835
OPENBLAS,0,1024,1024,4096,99.5882,0.230772
OPENBLAS,0,1024,1536,512,19.2257,-0.232424
OPENBLAS,0,1024,1536,1024,37.7987,-0.333219
OPENBLAS,0,1024,1536,1536,54.7008,0.143982
OPENBLAS,0,1024,1536,2048,74.3261,-1.26483
OPENBLAS,0,1024,1536,2560,92.2142,-0.297456
OPENBLAS,0,1024,1536,3072,110.699,0.315935
OPENBLAS,0,1024,1536,3584,128.831,-0.815016
OPENBLAS,0,1024,1536,4096,147.219,-1.0886
OPENBLAS,0,1024,2048,512,25.2596,-0.45235
OPENBLAS,0,1024,2048,1024,49.532,-0.907293
OPENBLAS,0,1024,2048,1536,73.573,-0.309702
OPENBLAS,0,1024,2048,2048,98.0408,-0.340516
OPENBLAS,0,1024,2048,2560,122.236,-0.442235
OPENBLAS,0,1024,2048,3072,146.554,-0.114548
OPENBLAS,0,1024,2048,3584,170.318,0.288405
OPENBLAS,0,1024,2048,4096,194.25,0.635892
OPENBLAS,0,1024,2560,512,31.2236,-0.151409
OPENBLAS,0,1024,2560,1024,61.321,0.071323
OPENBLAS,0,1024,2560,1536,91.3092,0.341434
OPENBLAS,0,1024,2560,2048,105.719,7.04755
OPENBLAS,0,1024,2560,2560,131.478,1.25022
OPENBLAS,0,1024,2560,3072,157.404,1.34724
OPENBLAS,0,1024,2560,3584,183.715,0.58409
OPENBLAS,0,1024,2560,4096,209.811,1.0846
OPENBLAS,0,1024,3072,512,32.316,-0.081417
OPENBLAS,0,1024,3072,1024,63.6653,-0.189162
OPENBLAS,0,1024,3072,1536,94.6623,0.815737
OPENBLAS,0,1024,3072,2048,127.964,1.17976
OPENBLAS,0,1024,3072,2560,184.511,-3.14648
OPENBLAS,0,1024,3072,3072,220.099,-0.119441
OPENBLAS,0,1024,3072,3584,255.883,-1.44641
OPENBLAS,0,1024,3072,4096,289.994,-2.50232
OPENBLAS,0,1024,3584,512,43.6692,-0.821414
OPENBLAS,0,1024,3584,1024,86.0061,-0.754675
OPENBLAS,0,1024,3584,1536,127.883,-0.642793
