Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
SYCL,0,512,512,512,1.20903,109.81
SYCL,0,512,512,1024,1.85555,1.12581
SYCL,0,512,512,1536,2.33861,0.456033
SYCL,0,512,512,2048,2.77951,0.687877
SYCL,0,512,512,2560,3.4216,1.13035
SYCL,0,512,512,3072,2.78893,0.504821
SYCL,0,512,512,3584,3.94318,-0.817625
SYCL,0,512,512,4096,3.73739,1.05653
SYCL,0,512,1024,512,1.30199,138.801
SYCL,0,512,1024,1024,1.89773,0.583908
SYCL,0,512,1024,1536,2.24228,0.610984
SYCL,0,512,1024,2048,3.04232,1.44997
SYCL,0,512,1024,2560,3.63697,1.12934
SYCL,0,512,1024,3072,4.53181,1.34841
SYCL,0,512,1024,3584,5.23324,1.42487
SYCL,0,512,1024,4096,5.56883,-0.130611
SYCL,0,512,1536,512,1.35717,0.533611
SYCL,0,512,1536,1024,1.8437,0.933475
SYCL,0,512,1536,1536,2.59422,1.07224
SYCL,0,512,1536,2048,3.86271,0.751731
SYCL,0,512,1536,2560,4.83539,0.68161
SYCL,0,512,1536,3072,5.90669,-0.305828
SYCL,0,512,1536,3584,6.56579,-1.42363
SYCL,0,512,1536,4096,6.24441,-1.66277
SYCL,0,512,2048,512,1.20818,139.223
SYCL,0,512,2048,1024,2.34061,0.727942
SYCL,0,512,2048,1536,2.44098,0.552054
SYCL,0,512,2048,2048,3.79309,2.31393
SYCL,0,512,2048,2560,5.07523,2.95032
SYCL,0,512,2048,3072,5.39954,2.58512
SYCL,0,512,2048,3584,6.24001,2.56585
SYCL,0,512,2048,4096,6.02318,-0.415294
SYCL,0,512,2560,512,1.63093,0.569773
SYCL,0,512,2560,1024,2.21546,-0.149615
SYCL,0,512,2560,1536,3.8191,2.14225
SYCL,0,512,2560,2048,5.53793,2.61497
SYCL,0,512,2560,2560,5.35849,2.9168
SYCL,0,512,2560,3072,7.08338,-0.340516
SYCL,0,512,2560,3584,6.43325,0.742031
SYCL,0,512,2560,4096,8.34734,-0.331156
SYCL,0,512,3072,512,1.69883,0.323202
SYCL,0,512,3072,1024,2.53181,0.170955
SYCL,0,512,3072,1536,4.29325,2.07233
SYCL,0,512,3072,2048,4.99384,2.53099
SYCL,0,512,3072,2560,6.20737,-1.53664
SYCL,0,512,3072,3072,6.89724,0.488583
SYCL,0,512,3072,3584,8.33293,-0.786473
SYCL,0,512,3072,4096,7.27561,1.42532
SYCL,0,512,3584,512,1.98256,0.308542
SYCL,0,512,3584,1024,2.89195,0.554075
SYCL,0,512,3584,1536,5.2201,2.47633
SYCL,0,512,3584,2048,5.69497,2.75305
SYCL,0,512,3584,2560,7.75958,0.864668
SYCL,0,512,3584,3072,6.8487,-0.40393
SYCL,0,512,3584,3584,8.63823,0.252262
SYCL,0,512,3584,4096,7.89575,1.09136
SYCL,0,512,4096,512,1.98147,0.112129
SYCL,0,512,4096,1024,4.0047,1.72645
SYCL,0,512,4096,1536,6.18189,2.61175
SYCL,0,512,4096,2048,6.56548,1.57316
SYCL,0,512,4096,2560,8.789,2.26099
SYCL,0,512,4096,3072,8.59005,0.681972
SYCL,0,512,4096,3584,8.29483,3.04531
SYCL,0,512,4096,4096,10.1206,0.783259
SYCL,0,1024,512,512,0.915393,0.438119
SYCL,0,1024,512,1024,1.30341,0.955124
SYCL,0,1024,512,1536,1.9539,1.12551
SYCL,0,1024,512,2048,2.36138,0.70678
SYCL,0,1024,512,2560,2.36683,0.246407
SYCL,0,1024,512,3072,3.22415,1.46718
SYCL,0,1024,512,3584,3.97612,1.2092
SYCL,0,1024,512,4096,5.17073,1.68184
SYCL,0,1024,1024,512,1.4534,0.663409
SYCL,0,1024,1024,1024,2.38478,0.531208
SYCL,0,1024,1024,1536,2.90703,0.059392
SYCL,0,1024,1024,2048,3.45575,0.386096
SYCL,0,1024,1024,2560,4.89282,0.170538
SYCL,0,1024,1024,3072,5.94249,1.78938
SYCL,0,1024,1024,3584,5.34894,1.46005
SYCL,0,1024,1024,4096,7.25169,1.12934
SYCL,0,1024,1536,512,1.76466,0.496552
SYCL,0,1024,1536,1024,2.5824,0.407311
SYCL,0,1024,1536,1536,3.21758,0.377913
SYCL,0,1024,1536,2048,4.55032,0.743552
