Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
SYCL,1,512,512,512,0.610894,0.223919
SYCL,1,512,512,1024,0.782251,0.083157
SYCL,1,512,512,1536,0.936991,0.89135
SYCL,1,512,512,2048,1.08253,0.854611
SYCL,1,512,512,2560,1.27727,0.772255
SYCL,1,512,512,3072,1.54781,1.08957
SYCL,1,512,512,3584,1.85872,1.12206
SYCL,1,512,512,4096,2.20546,1.09372
SYCL,1,512,1024,512,0.890272,0.669364
SYCL,1,512,1024,1024,1.18034,0.678577
SYCL,1,512,1024,1536,1.45271,0.747527
SYCL,1,512,1024,2048,1.66062,0.873865
SYCL,1,512,1024,2560,2.29119,0.855256
SYCL,1,512,1024,3072,2.4318,1.13287
SYCL,1,512,1024,3584,2.95757,0.796347
SYCL,1,512,1024,4096,3.54502,0.830465
SYCL,1,512,1536,512,1.09119,0.837878
SYCL,1,512,1536,1024,1.54621,0.840714
SYCL,1,512,1536,1536,1.92417,1.25695
SYCL,1,512,1536,2048,2.58831,0.653352
SYCL,1,512,1536,2560,3.27448,1.39855
SYCL,1,512,1536,3072,3.56398,1.39243
SYCL,1,512,1536,3584,3.77778,1.09939
SYCL,1,512,1536,4096,4.12386,1.49343
SYCL,1,512,2048,512,1.15599,0.601556
SYCL,1,512,2048,1024,1.74444,1.20394
SYCL,1,512,2048,1536,2.66328,0.637603
SYCL,1,512,2048,2048,3.26005,1.16805
SYCL,1,512,2048,2560,3.30535,1.54322
SYCL,1,512,2048,3072,4.11902,1.1497
SYCL,1,512,2048,3584,4.59971,1.66493
SYCL,1,512,2048,4096,5.37943,2.55389
SYCL,1,512,2560,512,1.36725,90.0329
SYCL,1,512,2560,1024,2.13286,0.96402
SYCL,1,512,2560,1536,3.16521,1.09453
SYCL,1,512,2560,2048,3.95881,1.55474
SYCL,1,512,2560,2560,4.66262,2.68329
SYCL,1,512,2560,3072,5.16034,2.84518
SYCL,1,512,2560,3584,5.75874,2.51919
SYCL,1,512,2560,4096,5.58642,0.783929
SYCL,1,512,3072,512,1.21261,0.802482
SYCL,1,512,3072,1024,2.21984,0.727184
SYCL,1,512,3072,1536,2.7313,0.267523
