Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
OPENVINO,1,512,512,512,0.603868,21.6857
OPENVINO,1,512,512,1024,0.833712,13.7404
OPENVINO,1,512,512,1536,0.985318,15.0142
OPENVINO,1,512,512,2048,1.32063,15.8771
OPENVINO,1,512,512,2560,1.79028,16.7782
OPENVINO,1,512,512,3072,2.59001,17.9063
OPENVINO,1,512,512,3584,2.81653,24.7418
OPENVINO,1,512,512,4096,2.94164,27.0616
OPENVINO,1,512,1024,512,1.2289,13.6555
OPENVINO,1,512,1024,1024,1.73293,15.5619
OPENVINO,1,512,1024,1536,2.12649,17.1223
OPENVINO,1,512,1024,2048,2.73092,26.6862
OPENVINO,1,512,1024,2560,3.74017,27.1143
OPENVINO,1,512,1024,3072,4.46734,28.5116
OPENVINO,1,512,1024,3584,4.47181,31.02
OPENVINO,1,512,1024,4096,4.90091,24.7291
OPENVINO,1,512,1536,512,1.57784,14.5123
OPENVINO,1,512,1536,1024,2.14209,16.3979
OPENVINO,1,512,1536,1536,2.98551,97.2595
OPENVINO,1,512,1536,2048,3.66838,21.7193
OPENVINO,1,512,1536,2560,5.4111,22.6594
OPENVINO,1,512,1536,3072,6.89034,24.691
OPENVINO,1,512,1536,3584,8.05015,26.7098
OPENVINO,1,512,1536,4096,7.70786,32.4669
OPENVINO,1,512,2048,512,1.50087,15.2207
OPENVINO,1,512,2048,1024,2.93164,18.1802
OPENVINO,1,512,2048,1536,3.63906,22.1537
OPENVINO,1,512,2048,2048,4.82878,26.4481
OPENVINO,1,512,2048,2560,7.69761,24.5654
OPENVINO,1,512,2048,3072,8.69546,28.469
OPENVINO,1,512,2048,3584,8.90057,37.3409
OPENVINO,1,512,2048,4096,9.91609,36.992
OPENVINO,1,512,2560,512,1.62205,16.7819
OPENVINO,1,512,2560,1024,3.35006,20.1356
OPENVINO,1,512,2560,1536,4.27026,24.2437
OPENVINO,1,512,2560,2048,5.82194,28.6938
OPENVINO,1,512,2560,2560,8.28078,31.5595
OPENVINO,1,512,2560,3072,10.072,152.025
OPENVINO,1,512,2560,3584,11.7257,39.5454
OPENVINO,1,512,2560,4096,11.0761,53.2097
OPENVINO,1,512,3072,512,1.80061,18.1636
OPENVINO,1,512,3072,1024,3.17943,21.2624
OPENVINO,1,512,3072,1536,4.91278,27.1291
OPENVINO,1,512,3072,2048,6.15629,31.8414
OPENVINO,1,512,3072,2560,8.64373,35.4187
OPENVINO,1,512,3072,3072,9.61686,44.5631
OPENVINO,1,512,3072,3584,11.9326,53.1207
OPENVINO,1,512,3072,4096,11.9232,56.8834
OPENVINO,1,512,3584,512,1.96895,26.5393
OPENVINO,1,512,3584,1024,3.53446,31.8468
OPENVINO,1,512,3584,1536,7.77311,33.1631
OPENVINO,1,512,3584,2048,5.98966,42.0051
OPENVINO,1,512,3584,2560,13.8184,43.289
OPENVINO,1,512,3584,3072,15.8432,46.5849
OPENVINO,1,512,3584,3584,19.6844,46.7302
OPENVINO,1,512,3584,4096,14.8916,62.6037
OPENVINO,1,512,4096,512,2.60658,187.879
OPENVINO,1,512,4096,1024,5.41477,32.1032
OPENVINO,1,512,4096,1536,10.6678,36.2536
OPENVINO,1,512,4096,2048,7.96251,45.5231
OPENVINO,1,512,4096,2560,16.7425,46.9488
OPENVINO,1,512,4096,3072,19.3876,47.477
OPENVINO,1,512,4096,3584,23.8719,58.4049
OPENVINO,1,512,4096,4096,16.6483,59.9939
OPENVINO,1,1024,512,512,0.862397,20.9511
OPENVINO,1,1024,512,1024,1.14948,14.298
OPENVINO,1,1024,512,1536,1.43196,15.4262
OPENVINO,1,1024,512,2048,1.88315,22.653
OPENVINO,1,1024,512,2560,2.48468,24.4843
OPENVINO,1,1024,512,3072,2.85135,27.1042
OPENVINO,1,1024,512,3584,3.49416,28.3485
OPENVINO,1,1024,512,4096,3.23413,28.7959
OPENVINO,1,1024,1024,512,1.43819,14.3822
OPENVINO,1,1024,1024,1024,2.14593,16.0488
OPENVINO,1,1024,1024,1536,4.79234,25.9042
OPENVINO,1,1024,1024,2048,5.02352,136.851
OPENVINO,1,1024,1024,2560,5.71269,29.7016
OPENVINO,1,1024,1024,3072,7.87451,24.5658
OPENVINO,1,1024,1024,3584,6.63107,34.8559
OPENVINO,1,1024,1024,4096,9.45049,37.1219
OPENVINO,1,1024,1536,512,2.09037,26.6618
OPENVINO,1,1024,1536,1024,3.52727,17.3375
OPENVINO,1,1024,1536,1536,5.80846,27.5607
OPENVINO,1,1024,1536,2048,6.91029,24.1725
OPENVINO,1,1024,1536,2560,8.45938,24.559
OPENVINO,1,1024,1536,3072,10.3518,27.514
OPENVINO,1,1024,1536,3584,11.2841,36.5991
OPENVINO,1,1024,1536,4096,12.2616,43.8984
OPENVINO,1,1024,2048,512,1.98118,23.4193
OPENVINO,1,1024,2048,1024,3.4286,26.8437
OPENVINO,1,1024,2048,1536,7.72683,32.122
OPENVINO,1,1024,2048,2048,8.51658,27.9255
OPENVINO,1,1024,2048,2560,11.5339,34.7905
OPENVINO,1,1024,2048,3072,10.5563,35.5994
OPENVINO,1,1024,2048,3584,12.4171,154.117
OPENVINO,1,1024,2048,4096,12.727,47.9546
OPENVINO,1,1024,2560,512,2.16584,25.4012
OPENVINO,1,1024,2560,1024,4.06511,29.4209
OPENVINO,1,1024,2560,1536,6.44218,33.2304
OPENVINO,1,1024,2560,2048,9.17592,36.7089
OPENVINO,1,1024,2560,2560,10.4314,42.1843
OPENVINO,1,1024,2560,3072,10.8872,44.626
OPENVINO,1,1024,2560,3584,12.9565,48.1914
OPENVINO,1,1024,2560,4096,14.2707,51.7507
OPENVINO,1,1024,3072,512,2.44811,27.2663
OPENVINO,1,1024,3072,1024,4.36382,32.0071
OPENVINO,1,1024,3072,1536,8.47968,36.5729
OPENVINO,1,1024,3072,2048,8.45156,41.3127
OPENVINO,1,1024,3072,2560,10.3072,47.8499
OPENVINO,1,1024,3072,3072,11.7111,49.9081
OPENVINO,1,1024,3072,3584,15.0334,54.8489
OPENVINO,1,1024,3072,4096,17.0383,56.7648
OPENVINO,1,1024,3584,512,3.16218,28.2002
OPENVINO,1,1024,3584,1024,6.25807,187.607
OPENVINO,1,1024,3584,1536,13.2459,36.7501
OPENVINO,1,1024,3584,2048,11.2916,46.0643
OPENVINO,1,1024,3584,2560,19.207,48.7784
OPENVINO,1,1024,3584,3072,23.2543,50.0932
OPENVINO,1,1024,3584,3584,28.6787,59.8241
OPENVINO,1,1024,3584,4096,25.5339,68.7668
OPENVINO,1,1024,4096,512,3.62293,24.729
OPENVINO,1,1024,4096,1024,5.99127,36.4005
OPENVINO,1,1024,4096,1536,15.7755,38.9286
OPENVINO,1,1024,4096,2048,13.4388,46.1312
OPENVINO,1,1024,4096,2560,25.598,51.6187
OPENVINO,1,1024,4096,3072,27.1738,53.3574
OPENVINO,1,1024,4096,3584,33.084,61.6933
OPENVINO,1,1024,4096,4096,28.3591,74.2377
OPENVINO,1,1536,512,512,1.04594,21.2962
OPENVINO,1,1536,512,1024,1.39303,14.8905
OPENVINO,1,1536,512,1536,1.95571,17.4331
OPENVINO,1,1536,512,2048,2.51934,25.6922
OPENVINO,1,1536,512,2560,3.77388,183.096
OPENVINO,1,1536,512,3072,4.9127,23.0862
OPENVINO,1,1536,512,3584,5.99318,32.8432
OPENVINO,1,1536,512,4096,5.4472,34.4213
OPENVINO,1,1536,1024,512,2.07637,15.6622
OPENVINO,1,1536,1024,1024,3.18486,17.487
OPENVINO,1,1536,1024,1536,6.62254,26.5521
OPENVINO,1,1536,1024,2048,6.98772,30.2791
OPENVINO,1,1536,1024,2560,8.04672,31.9717
OPENVINO,1,1536,1024,3072,9.81735,38.8727
OPENVINO,1,1536,1024,3584,7.6789,37.4011
OPENVINO,1,1536,1024,4096,9.73,39.9353
OPENVINO,1,1536,1536,512,2.43211,24.1431
OPENVINO,1,1536,1536,1024,6.36974,27.6037
OPENVINO,1,1536,1536,1536,8.74139,29.7089
OPENVINO,1,1536,1536,2048,9.42592,33.8842
OPENVINO,1,1536,1536,2560,10.4253,35.1401
OPENVINO,1,1536,1536,3072,11.6843,35.6408
OPENVINO,1,1536,1536,3584,14.9991,39.2294
OPENVINO,1,1536,1536,4096,17.1475,151.45
OPENVINO,1,1536,2048,512,2.46791,26.8685
OPENVINO,1,1536,2048,1024,4.94389,31.5841
OPENVINO,1,1536,2048,1536,9.27572,36.359
OPENVINO,1,1536,2048,2048,9.00713,37.6356
OPENVINO,1,1536,2048,2560,13.0269,39.1764
OPENVINO,1,1536,2048,3072,12.8855,41.6946
OPENVINO,1,1536,2048,3584,14.2274,48.225
OPENVINO,1,1536,2048,4096,16.822,52.4822
OPENVINO,1,1536,2560,512,3.26711,27.0685
OPENVINO,1,1536,2560,1024,5.81312,32.6663
OPENVINO,1,1536,2560,1536,7.93456,36.9823
OPENVINO,1,1536,2560,2048,10.8281,40.944
OPENVINO,1,1536,2560,2560,13.2873,45.7589
OPENVINO,1,1536,2560,3072,15.2317,49.5477
OPENVINO,1,1536,2560,3584,20.2932,57.9951
OPENVINO,1,1536,2560,4096,22.6734,57.493
OPENVINO,1,1536,3072,512,3.64972,29.727
OPENVINO,1,1536,3072,1024,8.04756,25.5699
OPENVINO,1,1536,3072,1536,13.7236,177.412
OPENVINO,1,1536,3072,2048,12.3923,43.1276
OPENVINO,1,1536,3072,2560,14.8288,49.1818
OPENVINO,1,1536,3072,3072,16.2083,51.6376
OPENVINO,1,1536,3072,3584,21.5769,57.9409
OPENVINO,1,1536,3072,4096,23.8944,61.6755
