Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
CUDA_ONLY,1024,1024,1024,50,208.377,0.208,112.292,14.164,208.376,6.583,31.591,0.000,0.000,17.464,83.810,0.000,0.000,0.000,50,92.334,16.305,196.387,326.104,3927.738,212.692,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,100,396.259,0.396,207.341,14.489,396.257,11.396,28.758,0.000,0.000,36.611,92.392,0.000,0.000,0.000,100,96.029,15.888,384.234,158.882,3842.345,400.123,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,150,568.602,0.569,290.196,12.694,568.599,16.218,28.522,0.000,0.000,69.614,122.430,0.000,0.000,0.000,150,97.808,12.505,557.993,83.368,3719.956,570.499,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,200,762.389,0.762,393.430,24.511,762.385,21.867,28.682,0.000,0.000,68.865,90.328,0.000,0.000,0.000,200,96.600,26.060,740.317,130.300,3701.584,766.377,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,250,946.916,0.947,480.666,12.883,946.911,26.937,28.447,0.000,0.000,53.362,56.353,0.000,0.000,0.000,250,98.676,12.565,936.189,50.259,3744.758,948.754,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,300,1128.17,1.128,569.294,11.958,1128.163,32.495,28.803,0.000,0.000,69.630,61.719,0.000,0.000,0.000,300,98.690,14.885,1121.216,49.616,3737.386,1136.100,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,350,1314.5,1.314,666.138,13.296,1314.491,36.943,28.104,0.000,0.000,74.954,57.021,0.000,0.000,0.000,350,98.863,14.993,1303.355,42.836,3723.871,1318.348,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,400,1504.01,1.504,759.602,13.276,1504.002,42.927,28.541,0.000,0.000,108.890,72.400,0.000,0.000,0.000,400,98.993,15.182,1492.876,37.956,3732.190,1508.058,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,450,1668.77,1.669,845.347,14.735,1668.759,47.310,28.351,0.000,0.000,135.351,81.108,0.000,0.000,0.000,450,99.140,14.367,1656.292,31.927,3680.649,1670.659,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,500,1861.26,1.861,939.451,14.557,1861.253,53.000,28.475,0.000,0.000,162.807,87.471,0.000,0.000,0.000,500,98.777,22.897,1849.223,45.793,3698.446,1872.120,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,550,2049.16,2.049,1041.662,26.564,2049.147,57.687,28.151,0.000,0.000,185.350,90.452,0.000,0.000,0.000,550,98.648,27.749,2025.006,50.452,3681.829,2052.755,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,600,2224.67,2.225,1122.094,19.336,2224.661,63.532,28.558,0.000,0.000,226.448,101.789,0.000,0.000,0.000,600,99.153,18.858,2207.756,31.430,3679.593,2226.614,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,650,2436.91,2.437,1224.254,13.302,2436.897,68.632,28.164,0.000,0.000,291.528,119.630,0.000,0.000,0.000,650,99.390,14.878,2425.768,22.889,3731.950,2440.646,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,700,2561.25,2.561,1288.594,13.115,2554.233,72.285,28.222,0.000,0.000,350.253,136.751,0.000,0.000,0.000,700,99.418,14.937,2550.146,21.338,3643.066,2565.083,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,750,2781.09,2.781,1400.185,13.256,2781.079,79.247,28.495,0.000,0.000,374.838,134.781,0.000,0.000,0.000,750,99.481,14.440,2769.975,19.254,3693.300,2784.415,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,800,2935.99,2.936,1482.360,20.074,2935.974,82.780,28.195,0.000,0.000,168.617,57.431,0.000,0.000,0.000,800,99.332,19.629,2918.269,24.536,3647.836,2937.898,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,850,3087.33,3.087,1551.321,13.086,3083.312,86.573,28.041,0.000,0.000,111.424,36.091,0.000,0.000,0.000,850,99.510,15.138,3076.202,17.809,3619.061,3091.340,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,900,3293.22,3.293,1656.867,18.173,3293.204,93.133,28.280,0.000,0.000,121.038,36.754,0.000,0.000,0.000,900,99.387,20.219,3277.043,22.465,3641.159,3297.262,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,950,3454.35,3.454,1740.582,19.193,3450.325,96.759,28.011,0.000,0.000,164.979,47.760,0.000,0.000,0.000,950,99.385,21.272,3437.217,22.391,3618.123,3458.488,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,1000,3636.38,3.636,1829.327,14.136,3636.359,103.075,28.346,0.000,0.000,268.305,73.784,0.000,0.000,0.000,1000,99.560,16.008,3624.182,16.008,3624.182,3640.190,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,1050,3822.9,3.823,1919.313,7.094,3822.878,106.873,27.956,0.000,0.000,344.406,90.090,0.000,0.000,0.000,1050,99.584,15.968,3817.887,15.207,3636.083,3833.855,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,1100,4006.14,4.006,2006.091,13.172,4006.118,113.196,28.256,0.000,0.000,263.568,65.791,0.000,0.000,0.000,1100,99.635,14.620,3994.908,13.291,3631.735,4009.528,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,1150,4201,4.201,2111.984,23.424,4200.975,117.328,27.929,0.000,0.000,237.254,56.476,0.000,0.000,0.000,1150,99.474,22.134,4182.819,19.247,3637.234,4204.953,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,1200,4378.18,4.378,2199.460,24.466,4378.158,123.005,28.095,0.000,0.000,343.558,78.470,0.000,0.000,0.000,1200,99.398,26.389,4356.016,21.991,3630.013,4382.405,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,1250,4541.15,4.541,2275.454,14.275,4541.122,127.077,27.983,0.000,0.000,457.531,100.752,0.000,0.000,0.000,1250,99.649,15.966,4528.897,12.773,3623.118,4544.864,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,1300,4726.18,4.726,2371.454,13.218,4726.154,133.524,28.252,0.000,0.000,619.266,131.029,0.000,0.000,0.000,1300,99.688,14.761,4714.898,11.355,3626.845,4729.659,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,1350,4908.01,4.908,2454.873,19.424,4900.984,139.235,28.369,0.000,0.000,317.282,64.646,0.000,0.000,0.000,1350,99.569,21.182,4890.807,15.690,3622.820,4911.989,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,1024,1024,1024,1400,5080.36,5.080,2546.176,13.071,5080.333,144.253,28.394,0.000,0.000,372.062,73.235,0.000,0.000,0.000,1400,99.701,15.196,5069.136,10.854,3620.812,5084.332,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
