Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
DYNAMIC,2560,1024,2048,5,3441.85,3.442,772.082,30.192,3441.846,90.721,26.358,0.000,0.000,155.574,45.201,0.049,0.370,0.114,2,54.432,29.222,34.906,14610.776,17453.067,64.128,1,60.137,20.677,31.194,20677.186,31194.086,51.871,1,99.479,17.931,3423.911,17931.087,3423911.048,3441.842,1,94.696,14.720,262.806,14720.349,262806.350,277.527
DYNAMIC,2560,1024,2048,10,5198.64,5.199,598.036,26.302,5198.644,134.124,25.800,0.000,0.000,484.183,93.136,0.372,0.423,0.179,4,65.847,30.531,58.863,7632.791,14715.869,89.395,3,84.083,16.888,89.215,5629.436,29738.415,106.104,2,99.751,12.927,5185.713,6463.312,2592856.663,5198.640,1,94.989,13.140,249.087,13140.466,249087.323,262.228
DYNAMIC,2560,1024,2048,15,2458.86,2.459,266.493,26.095,2458.858,66.818,27.174,0.000,0.000,381.486,155.147,0.252,0.415,0.172,7,70.811,56.264,136.493,8037.679,19498.960,192.756,4,88.595,20.074,155.932,5018.442,38982.965,176.006,3,99.402,14.706,2444.148,4902.117,814715.986,2458.854,1,95.932,10.963,258.514,10963.203,258514.179,269.477
DYNAMIC,2560,1024,2048,20,2111.99,2.112,232.164,29.248,2111.995,59.926,28.374,0.000,0.000,334.436,158.351,0.366,0.661,0.260,8,75.221,60.538,183.773,7567.287,22971.682,244.312,7,85.813,32.383,195.879,4626.125,27982.681,228.262,4,98.821,24.901,2087.090,6225.192,521772.420,2111.990,1,94.578,15.217,265.442,15216.699,265441.631,280.658
DYNAMIC,2560,1024,2048,25,13491,13.491,687.490,26.204,13490.969,351.426,26.049,0.000,0.000,3007.035,222.892,0.322,0.487,0.184,11,75.690,65.379,203.559,5943.513,18505.341,268.937,8,90.475,27.312,259.443,3414.010,32430.429,286.756,5,99.850,20.289,13470.676,4057.788,2694135.108,13490.964,1,95.251,13.429,269.334,13429.423,269333.998,282.763
DYNAMIC,2560,1024,2048,30,2633.87,2.634,313.504,29.280,2633.866,77.712,29.505,0.000,0.000,450.687,171.112,0.335,0.439,0.200,14,78.374,83.823,303.780,5987.349,21698.548,387.603,12,91.271,36.415,380.737,3034.608,31728.123,417.153,2,99.237,20.100,2613.762,10049.754,1306880.827,2633.861,2,96.698,16.473,482.401,8236.690,241200.436,498.874
DYNAMIC,2560,1024,2048,35,3400.11,3.400,366.446,25.871,3400.110,107.920,31.740,0.000,0.000,136.547,40.160,0.406,0.482,0.177,14,74.135,120.339,344.911,8595.608,24636.492,465.249,18,86.952,58.038,386.775,3224.308,21487.495,444.812,1,99.585,14.097,3386.007,14097.056,3386007.325,3400.104,2,98.939,10.377,967.235,5188.356,483617.679,977.612
DYNAMIC,2560,1024,2048,40,5145.43,5.145,387.155,36.673,5145.432,143.096,27.810,0.000,0.000,1240.310,241.051,0.314,26.962,0.233,17,88.477,53.187,408.382,3128.641,24022.492,461.569,19,87.114,58.704,396.863,3089.685,20887.503,455.567,2,99.456,27.988,5119.363,13993.827,2559681.570,5147.351,2,94.716,25.015,448.386,12507.637,224193.047,473.401
DYNAMIC,2560,1024,2048,45,1126.37,1.126,327.721,27.180,1126.371,50.595,44.919,0.000,0.000,76.899,68.271,0.407,0.491,0.223,19,75.677,129.397,402.594,6810.361,21189.149,531.991,21,91.071,47.367,483.128,2255.570,23006.107,530.495,3,98.178,16.523,890.543,5507.663,296847.678,907.066,2,98.832,13.129,1111.201,6564.332,555600.464,1124.330
DYNAMIC,2560,1024,2048,50,2307.16,2.307,346.731,36.014,2307.162,76.699,33.244,0.000,0.000,135.205,58.602,0.324,240.653,0.221,17,74.387,143.795,417.628,8458.501,24566.376,561.423,26,89.642,56.882,492.292,2187.751,18934.289,549.173,3,99.022,22.568,2284.589,7522.792,761529.662,2307.157,4,93.979,41.651,650.093,10412.625,162523.242,691.743
