Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
DYNAMIC,2048,2048,2048,20,623.171,0.623,248.340,57.303,623.171,25.870,41.514,0.000,0.000,11.490,18.438,0.297,0.808,0.360,10,70.629,102.834,247.286,10283.433,24728.563,350.120,1,96.640,21.001,604.017,21000.567,604017.362,625.018,4,84.610,58.168,319.788,14541.878,79946.989,377.955,5,90.795,34.275,338.062,6854.909,67612.460,372.337
DYNAMIC,2048,2048,2048,40,441.212,0.441,146.026,25.296,441.212,22.395,50.758,0.000,0.000,36.417,82.538,0.150,0.325,0.165,12,75.740,56.459,176.271,4704.948,14689.289,232.731,18,84.388,36.588,197.771,2032.687,10987.269,234.359,8,92.494,18.503,228.002,2312.857,28500.280,246.505,2,98.098,8.353,430.781,4176.685,215390.272,439.134
DYNAMIC,2048,2048,2048,60,416.233,0.416,185.568,27.001,416.231,23.650,56.820,0.000,0.000,57.896,139.095,0.139,0.366,0.229,15,90.776,28.783,283.271,1918.849,18884.747,312.054,29,85.783,44.705,269.749,1541.552,9301.681,314.454,13,87.496,41.076,287.425,3159.714,22109.584,328.501,3,94.134,24.524,393.569,8174.794,131189.706,418.093
DYNAMIC,2048,2048,2048,80,489.713,0.490,232.612,24.704,489.712,28.975,59.167,0.000,0.000,68.732,140.352,0.147,75.365,0.153,22,77.797,91.112,319.244,4141.462,14511.069,410.356,41,87.608,50.233,355.125,1225.197,8661.594,405.358,14,93.143,27.379,371.883,1955.612,26563.044,399.261,3,98.354,8.004,478.193,2668.003,159397.711,486.197
DYNAMIC,2048,2048,2048,100,741.66,0.742,269.612,24.761,741.658,41.708,56.236,0.000,0.000,76.190,102.729,0.097,0.278,0.157,27,78.220,107.271,385.250,3973.002,14268.507,492.521,50,88.203,55.680,416.316,1113.609,8326.321,471.997,19,95.025,23.858,455.744,1255.709,23986.519,479.602,4,98.589,10.412,727.637,2602.985,181909.215,738.049
DYNAMIC,2048,2048,2048,120,652.091,0.652,326.180,32.834,652.089,40.699,62.414,0.000,0.000,63.726,97.726,0.131,0.259,0.135,31,77.378,132.442,453.014,4272.311,14613.349,585.455,63,88.076,69.401,512.649,1101.611,8137.287,582.051,22,94.778,30.550,554.475,1388.651,25203.405,585.025,4,97.650,15.241,633.339,3810.270,158334.734,648.580
DYNAMIC,2048,2048,2048,140,818.429,0.818,366.694,25.008,818.427,49.057,59.940,0.000,0.000,86.900,106.179,0.198,0.284,0.159,36,78.720,143.509,530.872,3986.348,14746.455,674.381,73,88.072,79.336,585.772,1086.789,8024.270,665.107,26,96.570,22.619,636.816,869.965,24492.914,659.435,5,98.232,14.408,800.495,2881.636,160098.955,814.903
DYNAMIC,2048,2048,2048,160,929.889,0.930,433.123,40.257,929.886,54.867,59.004,0.000,0.000,101.417,109.064,0.178,37.834,0.166,41,77.440,179.221,615.213,4371.242,15005.187,794.434,85,87.921,95.286,693.586,1121.007,8159.831,788.871,29,94.128,46.246,741.256,1594.690,25560.554,787.502,5,98.356,15.211,910.275,3042.195,182055.060,925.486
DYNAMIC,2048,2048,2048,180,1020.56,1.021,451.019,25.381,1020.561,61.650,60.407,0.000,0.000,112.427,110.162,0.173,16.957,0.152,45,79.387,174.526,672.135,3878.357,14936.332,846.661,96,89.326,89.208,746.535,929.255,7776.405,835.743,33,96.277,31.432,812.723,952.476,24627.960,844.154,6,98.352,16.784,1001.699,2797.267,166949.802,1018.482
DYNAMIC,2048,2048,2048,200,1113.83,1.114,509.409,25.684,1113.829,66.154,59.393,0.000,0.000,154.722,138.909,0.150,15.269,0.134,51,79.030,201.020,757.606,3941.576,14855.015,958.626,107,88.153,111.865,832.384,1045.471,7779.287,944.249,36,95.221,45.179,900.144,1254.978,25003.992,945.323,6,99.101,9.992,1101.906,1665.280,183650.978,1111.898
DYNAMIC,2048,2048,2048,220,1167.17,1.167,542.714,25.446,1167.170,71.235,61.032,0.000,0.000,160.710,137.691,0.170,13.935,0.160,55,79.142,216.416,821.174,3934.833,14930.428,1037.589,119,89.723,105.644,922.350,887.763,7750.839,1027.994,39,96.040,40.521,982.746,1038.988,25198.613,1023.266,7,99.244,8.811,1156.369,1258.685,165195.510,1165.179
DYNAMIC,2048,2048,2048,240,1302.31,1.302,612.136,31.495,1302.310,81.478,62.564,0.000,0.000,84.247,64.690,0.134,0.281,0.147,61,78.872,239.687,894.743,3929.289,14667.924,1134.430,129,88.810,126.031,1000.297,976.986,7754.241,1126.328,42,96.404,40.590,1088.099,966.432,25907.112,1128.689,8,98.220,23.144,1277.088,2892.989,159635.955,1300.232
