Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
LARGE_MATRIX_SPLIT_CUDA,5000,4000,4000,1,-1.77049e+12,1.000,-1770491278113.218,-1770491278113.218,0.000,2.981,2.981,0.000,0.000,7.862,7.862,0.123,0.051,0.822,2,83.981,17.488,91.681,8743.786,45840.416,109.168,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
LARGE_MATRIX_SPLIT_CUDA,6000,4000,4000,1,-1.77049e+12,1.000,-1770491278408.764,-1770491278408.764,0.000,3.268,3.268,0.000,0.000,12.427,12.427,0.070,0.023,0.904,2,90.787,10.906,107.473,5453.216,53736.299,118.379,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
LARGE_MATRIX_SPLIT_CUDA,7000,4000,4000,1,-1.77049e+12,1.000,-1770491278737.157,-1770491278737.157,0.000,3.492,3.492,0.000,0.000,15.981,15.981,0.022,0.019,0.924,2,91.363,11.354,120.108,5677.017,60053.768,131.462,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
LARGE_MATRIX_SPLIT_CUDA,8000,4000,4000,1,-1.77049e+12,1.000,-1770491279102.605,-1770491279102.605,0.000,3.777,3.777,0.000,0.000,11.871,11.871,0.023,0.016,0.937,2,89.116,15.639,128.041,7819.271,64020.452,143.679,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
LARGE_MATRIX_SPLIT_CUDA,9000,4000,4000,1,-1.77049e+12,1.000,-1770491279494.064,-1770491279494.064,0.000,4.482,4.482,0.000,0.000,22.919,22.919,0.038,0.017,0.711,3,93.086,11.325,152.468,3774.909,50822.558,163.792,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
LARGE_MATRIX_SPLIT_CUDA,10000,4000,4000,1,-1.77049e+12,1.000,-1770491279922.779,-1770491279922.779,0.000,4.928,4.928,0.000,0.000,11.273,11.273,0.231,0.018,1.268,3,90.167,17.700,162.306,5899.960,54101.950,180.006,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
LARGE_MATRIX_SPLIT_CUDA,11000,4000,4000,1,-1.77049e+12,1.000,-1770491280389.822,-1770491280389.822,0.000,6.843,6.843,0.000,0.000,35.270,35.270,0.147,0.048,1.030,3,93.188,17.817,243.713,5938.876,81237.766,261.530,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
LARGE_MATRIX_SPLIT_CUDA,12000,4000,4000,1,-1.77049e+12,1.000,-1770491280948.229,-1770491280948.229,0.000,5.339,5.339,0.000,0.000,23.425,23.425,0.022,0.018,0.936,3,94.224,11.139,181.710,3712.847,60570.096,192.849,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
LARGE_MATRIX_SPLIT_CUDA,13000,4000,4000,1,-1.77049e+12,1.000,-1770491281468.215,-1770491281468.215,0.000,6.408,6.408,0.000,0.000,18.636,18.636,0.146,0.018,1.248,4,94.982,11.163,211.307,2790.828,52826.685,222.470,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
LARGE_MATRIX_SPLIT_CUDA,14000,4000,4000,1,-1.77049e+12,1.000,-1770491282054.176,-1770491282054.176,0.000,6.427,6.427,0.000,0.000,27.493,27.493,0.042,0.017,1.383,4,95.167,11.286,222.244,2821.486,55560.883,233.529,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
LARGE_MATRIX_SPLIT_CUDA,15000,4000,4000,1,-1.77049e+12,1.000,-1770491282649.115,-1770491282649.115,0.000,6.730,6.730,0.000,0.000,25.477,25.477,0.021,0.017,0.997,4,95.372,11.272,232.265,2817.926,58066.362,243.537,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
LARGE_MATRIX_SPLIT_CUDA,16000,4000,4000,1,-1.77049e+12,1.000,-1770491283285.295,-1770491283285.295,0.000,6.984,6.984,0.000,0.000,33.610,33.610,0.036,0.016,1.134,4,95.506,11.365,241.534,2841.222,60383.503,252.899,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
LARGE_MATRIX_SPLIT_CUDA,17000,4000,4000,1,-1.77049e+12,1.000,-1770491283947.056,-1770491283947.056,0.000,7.804,7.804,0.000,0.000,38.193,38.193,0.021,0.019,2.585,5,95.985,11.340,271.099,2268.002,54219.879,282.439,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
LARGE_MATRIX_SPLIT_CUDA,18000,4000,4000,1,-1.77049e+12,1.000,-1770491284695.620,-1770491284695.620,0.000,7.497,7.497,0.000,0.000,44.958,44.958,0.040,0.019,1.360,5,95.732,11.769,263.985,2353.783,52796.916,275.753,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
LARGE_MATRIX_SPLIT_CUDA,19000,4000,4000,1,-1.77049e+12,1.000,-1770491285421.254,-1770491285421.254,0.000,8.397,8.397,0.000,0.000,40.463,40.463,0.032,0.019,1.649,5,94.411,17.186,290.305,3437.249,58061.026,307.491,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
LARGE_MATRIX_SPLIT_CUDA,20000,4000,4000,1,-1.77049e+12,1.000,-1770491286214.921,-1770491286214.921,0.000,8.652,8.652,0.000,0.000,21.736,21.736,0.066,0.019,1.338,5,96.690,10.451,305.255,2090.238,61051.074,315.707,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
LARGE_MATRIX_SPLIT_CUDA,21000,4000,4000,1,-1.77049e+12,1.000,-1770491287037.181,-1770491287037.181,0.000,10.028,10.028,0.000,0.000,45.977,45.977,0.027,0.022,2.215,6,96.728,11.296,333.940,1882.652,55656.592,345.235,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
