Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
STATIC_HETERO_PARTITIONING,2560,1024,2048,5,229.517,0.230,160.218,85.142,229.517,6.139,26.749,0.000,0.000,16.384,71.385,0.632,3.456,19.994,5,80.991,44.227,188.443,8845.450,37688.621,232.670,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
STATIC_HETERO_PARTITIONING,2560,1024,2048,10,135.947,0.136,89.830,34.266,135.946,5.780,42.517,0.000,0.000,16.884,124.196,1.513,5.341,17.345,6,81.318,26.171,113.914,4361.851,18985.683,140.085,2,80.959,25.303,107.584,12651.459,53791.896,132.887,1,83.493,22.190,112.235,22189.859,112235.163,134.425,1,70.770,19.024,46.060,19023.894,46059.724,65.084
STATIC_HETERO_PARTITIONING,2560,1024,2048,15,229.163,0.229,114.764,37.253,229.162,9.024,39.379,0.000,0.000,19.575,85.420,0.619,7.127,16.633,10,89.271,25.006,208.062,2500.572,20806.190,233.068,3,83.173,24.363,120.424,8121.098,40141.384,144.787,1,45.982,20.121,17.127,20120.943,17127.331,37.248,1,69.215,19.546,43.945,19545.664,43945.478,63.491
STATIC_HETERO_PARTITIONING,2560,1024,2048,20,2075.48,2.075,213.429,21.657,2075.482,58.413,28.144,0.000,0.000,341.452,164.517,0.416,7.530,13.710,12,94.446,16.847,286.472,1403.892,23872.663,303.319,4,88.156,15.004,111.677,3750.919,27919.226,126.681,2,99.246,15.689,2063.970,7844.490,1031985.024,2079.659,2,89.795,9.449,83.145,4724.418,41572.356,92.594
STATIC_HETERO_PARTITIONING,2560,1024,2048,25,308.847,0.309,140.699,26.361,308.847,14.130,45.750,0.000,0.000,19.816,64.161,0.269,5.095,9.331,13,93.841,19.286,293.850,1483.546,22603.811,313.136,6,92.151,19.496,228.891,3249.332,38148.449,248.387,2,72.763,18.863,50.390,9431.298,25195.188,69.253,4,93.652,12.336,181.975,3083.925,45493.657,194.310
STATIC_HETERO_PARTITIONING,2560,1024,2048,30,351.664,0.352,152.346,19.712,351.663,18.010,51.213,0.000,0.000,63.008,179.171,0.397,5.623,8.617,16,95.721,15.384,344.169,961.528,21510.533,359.553,6,91.518,19.106,206.162,3184.390,34360.414,225.269,3,92.871,15.009,195.527,5002.964,65175.779,210.536,5,94.744,10.210,184.054,2042.033,36810.840,194.264
STATIC_HETERO_PARTITIONING,2560,1024,2048,35,767.422,0.767,281.390,46.099,767.421,28.894,37.651,0.000,0.000,88.081,114.775,0.301,5.831,14.460,18,95.943,31.311,740.450,1739.522,41136.131,771.762,8,81.408,30.866,135.151,3858.192,16893.842,166.016,3,74.657,31.976,94.198,10658.656,31399.290,126.174,6,90.148,36.956,338.149,6159.267,56358.237,375.105
STATIC_HETERO_PARTITIONING,2560,1024,2048,40,1240.42,1.240,254.611,25.486,1240.418,40.849,32.931,0.000,0.000,126.173,101.718,0.356,6.598,10.082,21,97.188,16.765,579.329,798.330,27587.078,596.094,8,92.312,18.295,219.664,2286.832,27458.048,237.959,4,98.948,13.046,1227.367,3261.480,306841.804,1240.413,7,95.554,10.552,226.775,1507.372,32396.468,237.327
STATIC_HETERO_PARTITIONING,2560,1024,2048,45,473.898,0.474,221.275,24.240,473.897,22.672,47.842,0.000,0.000,60.169,126.966,0.296,4.642,7.747,24,95.856,19.969,461.906,832.055,19246.071,481.875,9,93.593,19.172,280.074,2130.203,31119.314,299.246,4,88.619,14.434,112.389,3608.384,28097.238,126.822,8,95.236,16.322,326.313,2040.209,40789.172,342.635
STATIC_HETERO_PARTITIONING,2560,1024,2048,50,566.596,0.567,264.477,39.992,566.595,27.093,47.818,0.000,0.000,81.274,143.443,0.352,6.257,9.658,28,94.861,29.224,539.420,1043.718,19264.994,568.644,10,92.246,26.751,318.243,2675.050,31824.311,344.994,4,78.821,25.852,96.209,6462.880,24052.275,122.061,8,93.775,22.030,331.868,2753.809,41483.489,353.898
