Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
STATIC_PARTITIONING,2048,2048,2048,20,235.276,0.235,117.545,25.632,235.276,10.289,43.730,0.000,0.000,26.206,111.384,0.616,1.931,0.582,15,94.512,13.017,224.182,867.808,14945.463,237.199,2,71.913,12.084,30.940,6042.039,15470.164,43.024,2,78.893,13.007,48.617,6503.663,24308.636,61.625,1,96.691,6.149,179.670,6148.550,179670.476,185.819
STATIC_PARTITIONING,2048,2048,2048,40,451.272,0.451,213.921,25.059,451.271,18.645,41.317,0.000,0.000,32.356,71.700,0.683,1.943,0.928,30,97.256,12.439,440.947,414.629,14698.247,453.386,4,83.893,12.311,64.123,3077.824,16030.827,76.435,4,87.190,13.012,88.561,3252.941,22140.240,101.573,2,98.653,5.528,404.928,2763.774,202464.001,410.456
STATIC_PARTITIONING,2048,2048,2048,60,650.809,0.651,316.925,74.943,650.808,26.099,40.103,0.000,0.000,58.654,90.125,0.396,1.409,0.706,41,89.683,67.523,586.941,1646.903,14315.629,654.464,10,65.954,65.559,127.002,6555.889,12700.156,192.560,7,72.608,60.853,161.301,8693.224,23043.020,222.154,2,84.368,68.950,372.142,34474.838,186070.959,441.092
STATIC_PARTITIONING,2048,2048,2048,80,730.012,0.730,304.472,29.435,730.011,41.628,57.023,0.000,0.000,131.106,179.594,0.547,1.139,0.738,48,97.871,15.614,717.938,325.286,14957.033,733.551,18,92.298,16.690,200.013,927.234,11111.806,216.703,11,95.759,11.695,264.043,1063.155,24003.895,275.738,3,97.692,12.073,511.109,4024.443,170369.758,523.183
STATIC_PARTITIONING,2048,2048,2048,100,817.414,0.817,341.880,24.135,817.413,37.008,45.275,0.000,0.000,81.247,99.395,0.690,1.143,0.931,56,98.591,11.550,807.939,206.256,14427.486,819.490,26,94.895,14.475,269.075,556.737,10349.039,283.550,15,98.217,7.077,389.806,471.798,25987.053,396.883,3,98.736,7.341,573.551,2447.137,191183.799,580.893
STATIC_PARTITIONING,2048,2048,2048,120,933.511,0.934,376.876,17.733,933.508,41.857,44.839,0.000,0.000,91.936,98.484,0.562,0.846,0.722,64,98.759,11.687,929.930,182.609,14530.158,941.617,34,97.468,9.203,354.198,270.663,10417.591,363.401,19,98.233,8.019,445.900,422.073,23468.427,453.919,3,98.216,8.540,470.168,2846.663,156722.603,478.708
STATIC_PARTITIONING,2048,2048,2048,140,1080.73,1.081,446.367,34.434,1080.730,48.790,45.145,0.000,0.000,104.200,96.416,0.632,0.803,0.808,71,98.045,21.195,1063.031,298.518,14972.272,1084.226,42,95.901,18.229,426.446,434.018,10153.482,444.675,23,98.080,14.735,752.866,640.658,32733.325,767.602,4,98.032,13.116,653.165,3278.913,163291.312,666.281
STATIC_PARTITIONING,2048,2048,2048,160,1196,1.196,503.654,52.652,1195.998,58.260,48.712,0.000,0.000,184.624,154.368,0.510,0.831,0.629,79,96.392,43.303,1156.924,548.142,14644.605,1200.227,50,92.087,42.617,495.939,852.332,9918.782,538.556,27,94.453,37.277,634.709,1380.620,23507.730,671.985,4,94.789,35.005,636.820,8751.370,159204.909,671.825
STATIC_PARTITIONING,2048,2048,2048,180,1299.94,1.300,532.723,27.856,1299.934,59.864,46.052,0.000,0.000,155.901,119.930,0.890,0.698,0.689,86,98.798,15.663,1287.926,182.127,14975.883,1303.589,58,97.113,16.639,559.743,286.881,9650.745,576.382,31,98.228,14.081,780.705,454.232,25184.042,794.787,5,98.935,8.747,812.226,1749.323,162445.190,820.973
STATIC_PARTITIONING,2048,2048,2048,200,2306.85,2.307,594.594,27.075,2306.843,95.253,41.292,0.000,0.000,287.740,124.733,0.633,0.649,0.810,94,98.901,15.774,1419.929,167.814,15105.628,1435.704,66,97.415,16.920,637.670,256.363,9661.668,654.590,35,99.521,11.051,2295.788,315.737,65593.944,2306.839,5,99.439,8.604,1525.880,1720.842,305176.069,1534.485
