Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
CUDA_ONLY,4096,4096,4096,4,267.357,0.267,168.392,69.508,267.357,7.776,29.086,0.000,0.000,26.316,98.430,0.000,0.000,0.000,4,94.544,15.038,260.583,3759.572,65145.761,275.621,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,4096,4096,8,981.917,0.982,566.690,141.876,981.917,25.984,26.463,0.000,0.000,87.328,88.936,0.000,0.000,0.000,8,96.628,33.182,950.808,4147.713,118851.000,983.990,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,4096,4096,12,803.441,0.803,440.585,77.431,803.440,22.541,28.055,0.000,0.000,79.901,99.449,0.000,0.000,0.000,12,97.621,19.218,788.432,1601.465,65702.641,807.649,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,4096,4096,16,1522.52,1.523,847.656,172.623,1522.522,42.422,27.863,0.000,0.000,143.220,94.068,0.000,0.000,0.000,16,93.943,92.431,1433.474,5776.951,89592.132,1525.905,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,4096,4096,20,1322.57,1.323,697.321,73.477,1322.565,36.433,27.547,0.000,0.000,161.161,121.855,0.000,0.000,0.000,20,98.896,14.636,1311.568,731.789,65578.405,1326.204,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,4096,4096,24,2183.17,2.183,1147.848,109.821,2183.166,60.477,27.702,0.000,0.000,237.604,108.835,0.000,0.000,0.000,24,98.571,31.223,2153.825,1300.942,89742.703,2185.047,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,4096,4096,28,1850.61,1.851,959.701,73.722,1850.610,52.915,28.593,0.000,0.000,235.833,127.435,0.000,0.000,0.000,28,99.201,14.819,1839.595,529.261,65699.828,1854.414,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,4096,4096,32,2113.45,2.113,1096.177,73.899,2113.447,58.820,27.831,0.000,0.000,282.034,133.447,0.000,0.000,0.000,32,99.418,12.312,2103.156,384.761,65723.641,2115.469,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,4096,4096,36,2383.58,2.384,1229.269,74.658,2383.577,68.103,28.572,0.000,0.000,351.891,147.631,0.000,0.000,0.000,36,99.330,15.994,2371.546,444.283,65876.278,2387.540,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,4096,4096,40,2648.72,2.649,1367.034,80.606,2648.720,73.873,27.890,0.000,0.000,294.008,111.000,0.000,0.000,0.000,40,99.236,20.259,2630.547,506.463,65763.672,2650.805,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
