Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
CUDA_ONLY,4096,1536,512,5,94.5596,0.095,53.456,28.026,94.560,2.809,29.709,1.859,19.662,40.211,425.245,0.000,0.000,0.000,5,79.122,20.467,77.567,4093.454,15513.431,98.034,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,1536,512,10,178.205,0.178,95.925,28.099,178.205,5.395,30.274,3.730,20.932,12.477,70.015,0.000,0.000,0.000,10,88.353,21.246,161.178,2124.624,16117.799,182.424,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,1536,512,15,281.373,0.281,144.564,23.794,281.373,8.139,28.925,5.605,19.920,28.641,101.790,0.000,0.000,0.000,15,93.228,19.344,266.289,1289.609,17752.570,285.633,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,1536,512,20,376.641,0.377,187.112,22.638,376.641,11.194,29.721,7.685,20.404,45.308,120.295,0.000,0.000,0.000,20,95.310,17.840,362.575,892.018,18128.737,380.415,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,1536,512,25,526.958,0.527,248.219,34.992,526.957,15.362,29.152,10.518,19.960,75.353,142.996,0.000,0.000,0.000,25,94.800,27.593,502.996,1103.726,20119.825,530.589,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,1536,512,30,633.42,0.633,320.009,46.339,633.420,18.641,29.430,13.133,20.734,71.478,112.844,0.000,0.000,0.000,30,94.250,36.538,598.911,1217.937,19963.706,635.449,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,1536,512,35,713.999,0.714,357.085,31.659,713.998,20.864,29.221,14.493,20.298,49.627,69.506,0.000,0.000,0.000,35,96.299,26.563,691.090,758.953,19745.421,717.653,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,1536,512,40,744.272,0.744,395.857,27.325,744.271,21.928,29.463,15.326,20.591,55.518,74.594,0.000,0.000,0.000,40,97.563,18.186,727.971,454.659,18199.271,746.157,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,1536,512,45,820.116,0.820,444.358,27.226,820.115,23.659,28.848,16.452,20.061,57.374,69.958,0.000,0.000,0.000,45,97.785,18.209,803.906,404.649,17864.571,822.115,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,1536,512,50,879.684,0.880,480.461,22.542,879.683,25.701,29.216,18.003,20.465,66.931,76.085,0.000,0.000,0.000,50,97.981,17.834,865.581,356.687,17311.627,883.416,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,1536,512,55,974.978,0.975,523.792,27.986,974.977,27.930,28.647,19.848,20.358,77.138,79.118,0.000,0.000,0.000,55,97.896,20.594,958.003,374.439,17418.236,978.597,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,4096,1536,512,60,1621.19,1.621,843.635,43.224,1621.186,45.783,28.240,32.045,19.766,86.544,53.383,0.000,0.000,0.000,60,98.201,29.236,1596.079,487.272,26601.310,1625.315,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
