Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
DYNAMIC,4096,1536,512,5,475.203,0.475,136.829,18.713,475.203,14.419,30.344,10.894,22.924,19.835,41.740,0.148,0.752,0.134,2,66.817,29.531,59.463,14765.421,29731.537,88.994,1,63.438,20.274,35.177,20273.945,35177.213,55.451,1,95.990,19.576,468.642,19575.530,468642.438,488.218,1,82.037,16.003,73.084,16002.821,73084.020,89.087
DYNAMIC,4096,1536,512,10,1983.23,1.983,266.059,27.142,1983.233,52.693,26.569,40.300,20.321,76.532,38.590,0.203,0.410,0.195,4,68.760,33.093,72.839,8273.146,18209.659,105.931,3,86.792,16.415,107.864,5471.538,35954.578,124.278,2,99.288,14.114,1967.106,7057.011,983552.851,1981.220,1,89.147,10.446,85.807,10446.180,85806.930,96.253
DYNAMIC,4096,1536,512,15,498.224,0.498,152.954,25.809,498.224,18.286,36.702,12.821,25.733,34.696,69.639,0.264,0.487,0.199,5,77.669,46.460,161.591,9291.969,32318.114,208.050,7,86.202,29.234,182.635,4176.254,26090.743,211.869,1,97.235,13.774,484.445,13773.537,484445.424,498.219,2,90.393,19.037,179.120,9518.591,89560.144,198.157
DYNAMIC,4096,1536,512,20,983.263,0.983,197.986,27.945,983.262,34.871,35.464,25.879,26.319,60.852,61.888,0.343,0.430,0.216,7,74.761,63.769,188.896,9109.832,26985.151,252.665,8,87.536,33.065,232.224,4133.162,29028.011,265.289,3,98.104,18.639,964.619,6213.040,321539.528,983.258,2,97.256,14.157,501.719,7078.675,250859.633,515.877
DYNAMIC,4096,1536,512,25,4766.71,4.767,355.486,28.032,4766.705,130.278,27.331,99.316,20.835,280.452,58.836,0.273,0.470,0.228,10,75.396,82.636,253.222,8263.580,25322.194,335.858,9,87.601,39.141,276.548,4348.966,30727.571,315.689,4,99.572,20.412,4746.288,5102.875,1186572.115,4766.700,2,96.912,14.828,465.386,7414.171,232692.916,480.214
DYNAMIC,4096,1536,512,30,1185.42,1.185,260.457,27.938,1185.420,41.433,34.952,28.028,23.644,101.653,85.753,0.336,0.519,0.281,10,79.134,88.548,335.820,8854.796,33581.989,424.368,15,88.794,47.489,376.279,3165.906,25085.239,423.767,3,98.560,17.069,1168.346,5689.707,389448.825,1185.416,2,96.993,17.201,554.904,8600.288,277452.132,572.105
DYNAMIC,4096,1536,512,35,629.09,0.629,240.362,27.903,629.089,26.809,42.616,16.228,25.796,59.445,94.494,0.286,0.539,0.277,14,77.625,101.515,352.179,7251.064,25155.623,453.694,14,90.195,42.349,389.552,3024.953,27825.165,431.902,5,97.112,18.165,610.919,3633.062,122183.835,629.084,2,97.517,14.195,557.493,7097.318,278746.637,571.688
DYNAMIC,4096,1536,512,40,1466.44,1.466,288.603,28.208,1466.443,47.917,32.676,32.393,22.089,86.211,58.789,0.284,0.546,0.302,14,78.803,105.758,393.160,7554.132,28082.837,498.918,19,89.755,50.128,439.154,2638.297,23113.360,489.281,5,98.427,23.068,1443.371,4613.551,288674.119,1466.438,2,97.406,13.669,513.231,6834.539,256615.364,526.900
DYNAMIC,4096,1536,512,45,10085.3,10.085,498.991,28.008,10085.300,262.849,26.063,200.374,19.868,1116.135,110.669,0.300,0.438,0.218,16,78.300,116.498,420.354,7281.102,26272.118,536.852,20,86.947,67.692,450.900,3384.587,22544.996,518.592,6,99.808,19.385,10065.910,3230.877,1677651.677,10085.295,3,96.571,20.413,574.962,6804.388,191654.160,595.376
DYNAMIC,4096,1536,512,50,6554.52,6.555,480.881,31.068,6554.523,172.432,26.307,128.460,19.599,985.535,150.360,0.367,120.741,0.310,19,75.875,159.174,500.623,8377.565,26348.588,659.797,27,88.974,71.710,578.678,2655.930,21432.519,650.388,2,99.718,18.461,6536.051,9230.419,3268025.694,6554.512,2,97.403,17.004,637.645,8501.928,318822.507,654.649
