Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
DYNAMIC,4096,4096,4096,10,707.715,0.708,218.944,63.429,707.715,43.925,62.066,31.455,44.446,47.280,66.807,0.054,0.301,0.141,4,94.262,12.563,206.387,3140.682,51596.799,218.950,3,94.084,12.531,199.283,4177.066,66427.784,211.815,2,95.661,12.439,274.234,6219.534,137117.192,286.673,1,98.253,12.403,697.377,12403.293,697377.013,709.780
DYNAMIC,4096,4096,4096,20,973.053,0.973,314.251,62.467,973.052,39.036,40.117,20.924,21.504,80.049,82.266,0.103,0.486,0.249,9,97.073,13.387,443.966,1487.394,49329.589,457.353,7,97.171,13.330,457.798,1904.245,65399.720,471.128,3,97.160,13.450,460.113,4483.467,153371.032,473.563,1,98.632,13.335,961.681,13334.994,961680.562,975.016
DYNAMIC,4096,4096,4096,30,938.095,0.938,418.671,64.822,938.095,37.737,40.227,17.268,18.407,58.708,62.582,0.068,0.478,0.244,14,98.136,13.474,709.410,962.454,50672.141,722.884,10,98.038,13.348,666.891,1334.779,66689.061,680.238,5,98.169,13.353,715.944,2670.567,143188.824,729.297,1,98.586,13.296,926.770,13295.660,926769.687,940.065
DYNAMIC,4096,4096,4096,40,1002.58,1.003,529.198,64.864,1002.577,40.283,40.179,15.647,15.606,154.177,153.781,0.122,0.428,0.228,19,98.573,13.463,929.857,708.553,48939.829,943.319,14,98.607,13.428,950.863,959.129,67918.779,964.291,6,98.552,13.298,905.188,2216.353,150864.647,918.486,1,98.677,13.300,991.719,13299.925,991718.837,1005.019
DYNAMIC,4096,4096,4096,50,1759.63,1.760,664.632,62.302,1759.625,70.462,40.044,35.477,20.162,180.157,102.384,0.080,0.424,0.221,23,98.922,12.439,1141.911,540.830,49648.305,1154.350,17,98.982,12.265,1192.511,721.481,70147.716,1204.776,8,99.009,12.290,1228.057,1536.307,153507.163,1240.348,2,99.305,12.246,1749.534,6122.836,874766.833,1761.779
DYNAMIC,4096,4096,4096,60,1797.34,1.797,767.218,63.050,1797.334,72.117,40.125,33.992,18.913,113.155,62.957,0.150,0.457,0.244,29,99.099,12.757,1402.990,439.908,48378.952,1415.747,20,99.104,12.725,1407.983,636.230,70399.134,1420.707,9,99.075,12.692,1359.578,1410.201,151064.200,1372.270,2,99.301,12.571,1786.868,6285.734,893433.961,1799.439
DYNAMIC,4096,4096,4096,70,1772.37,1.772,790.111,65.554,1772.366,87.900,49.595,39.436,22.250,139.074,78.468,0.088,0.388,0.212,28,98.989,14.766,1446.055,527.373,51644.805,1460.821,27,98.961,14.793,1409.540,547.882,52205.185,1424.333,13,99.030,14.673,1498.673,1128.719,115282.531,1513.346,2,99.171,14.714,1759.772,7357.184,879885.764,1774.486
DYNAMIC,4096,4096,4096,80,1845.61,1.846,954.016,62.087,1845.605,92.063,49.882,34.153,18.505,146.695,79.483,0.088,0.397,0.227,33,99.292,12.391,1737.356,375.497,52647.146,1749.747,29,99.311,12.364,1782.169,426.358,61454.100,1794.533,16,99.340,12.198,1835.497,762.390,114718.572,1847.695,2,99.336,12.175,1820.765,6087.374,910382.739,1832.940
DYNAMIC,4096,4096,4096,90,2563.06,2.563,1051.462,61.900,2563.057,130.804,51.034,62.753,24.484,242.764,94.717,0.051,0.350,0.192,37,99.355,12.542,1932.333,338.984,52225.206,1944.875,33,99.368,12.506,1967.234,378.967,59613.138,1979.739,17,99.369,12.411,1955.823,730.039,115048.409,1968.234,3,99.518,12.367,2552.728,4122.404,850909.191,2565.095
DYNAMIC,4096,4096,4096,100,2750.05,2.750,1239.599,63.520,2750.053,110.178,40.064,49.587,18.031,170.839,62.122,0.088,0.424,0.252,48,99.444,13.066,2337.310,272.215,48693.955,2350.376,34,99.455,12.948,2361.959,380.835,69469.396,2374.908,15,99.446,12.902,2316.123,860.141,154408.194,2329.025,3,99.531,12.921,2739.229,4307.073,913076.377,2752.150
DYNAMIC,4096,4096,4096,106,2666.59,2.667,1300.542,62.792,2666.592,107.248,40.219,46.404,17.402,242.988,91.123,0.063,0.406,0.242,51,99.455,13.587,2478.611,266.418,48600.220,2492.199,35,99.451,13.610,2467.533,388.850,70500.938,2481.143,17,99.470,13.464,2527.087,792.024,148652.192,2540.552,3,99.498,13.405,2655.202,4468.309,885067.172,2668.606
