Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
CUDA_ONLY,4092,4092,4092,100,4372.91,4.373,2201.786,62.133,4372.910,202.374,46.279,167.647,38.338,332.056,75.935,0.000,0.000,0.000,100,99.594,17.746,4357.006,177.459,43570.063,4374.752,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
STATIC_PARTITIONING,4092,4092,4092,100,2673.66,2.674,1337.559,57.904,2673.657,107.117,40.064,45.870,17.156,136.930,51.214,0.248,0.780,0.463,46,99.409,12.914,2172.639,280.731,47231.282,2185.553,37,99.514,12.985,2659.288,350.954,71872.655,2672.274,14,99.494,12.860,2528.615,918.560,180615.334,2541.475,3,99.520,12.834,2662.571,4278.029,887523.779,2675.405
DYNAMIC,4092,4092,4092,100,2570.61,2.571,1183.773,63.869,2570.609,118.053,45.924,55.576,21.620,200.547,78.015,0.156,0.422,0.248,46,99.394,13.573,2225.136,295.063,48372.525,2238.709,37,99.393,13.612,2229.391,367.879,60253.813,2243.003,14,99.387,13.485,2186.471,963.204,156176.490,2199.956,3,99.474,13.533,2558.984,4511.082,852994.750,2572.517
CUDA_ONLY,4092,4092,4092,100,4399.78,4.400,2219.134,60.569,4399.778,145.177,32.996,108.496,24.659,355.645,80.832,0.000,0.000,0.000,100,99.625,16.497,4385.237,164.974,43852.369,4401.734,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
STATIC_PARTITIONING,4092,4092,4092,100,2781.93,2.782,1434.714,62.044,2781.930,111.791,40.185,51.819,18.627,331.296,119.088,0.389,1.619,0.587,52,99.392,15.065,2461.786,289.714,47342.041,2476.851,34,99.455,15.037,2745.357,442.258,80745.802,2760.394,11,99.328,15.006,2219.213,1364.203,201746.612,2234.219,3,99.466,14.858,2768.913,4952.829,922971.101,2783.772
DYNAMIC,4092,4092,4092,100,2576.69,2.577,1180.283,63.732,2576.685,103.189,40.047,43.911,17.041,232.506,90.234,0.096,0.444,0.258,46,99.376,13.900,2214.718,302.173,48146.046,2228.618,37,99.390,13.848,2254.996,374.280,60945.849,2268.845,14,99.393,13.811,2261.183,986.531,161513.064,2274.994,3,99.465,13.787,2564.740,4595.544,854913.204,2578.526
CUDA_ONLY,4092,4092,4092,100,4388.09,4.388,2225.554,61.172,4388.083,196.482,44.776,162.120,36.945,455.601,103.827,0.000,0.000,0.000,100,99.615,16.922,4373.002,169.224,43730.018,4389.924,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
STATIC_PARTITIONING,4092,4092,4092,100,2824.41,2.824,1338.347,58.998,2824.407,113.207,40.082,54.321,19.233,272.484,96.475,0.283,0.738,0.460,52,99.507,12.258,2475.854,235.726,47612.581,2488.112,34,99.511,12.234,2491.906,359.815,73291.353,2504.140,11,99.399,12.121,2004.655,1101.929,182241.340,2016.776,3,99.573,12.077,2814.120,4025.820,938040.103,2826.198
DYNAMIC,4092,4092,4092,100,2648.73,2.649,1203.766,62.233,2648.732,106.085,40.051,46.797,17.668,193.013,72.870,0.125,0.504,0.295,48,99.419,13.356,2286.461,278.245,47634.598,2299.816,35,99.434,13.240,2327.055,378.296,66487.287,2340.295,14,99.428,13.260,2303.437,947.108,164531.230,2316.697,3,99.505,13.115,2637.578,4371.810,879192.764,2650.694
CUDA_ONLY,1024,1024,1024,100,221.296,0.221,120.941,18.544,221.294,7.993,36.119,6.281,28.383,20.824,94.100,0.000,0.000,0.000,100,92.195,17.418,205.744,174.183,2057.440,223.162,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
