Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
STATIC_HETERO_PARTITIONING,4096,1536,512,5,191.25,0.191,111.548,57.630,191.250,5.116,26.749,3.575,18.692,5.889,30.792,0.478,2.438,12.206,5,80.787,37.509,157.720,7501.860,31543.931,195.229,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
STATIC_HETERO_PARTITIONING,4096,1536,512,10,171.496,0.171,87.578,27.227,171.496,5.121,29.860,3.364,19.618,11.875,69.244,0.323,4.360,12.653,9,89.182,18.987,156.525,2109.634,17391.712,175.512,1,60.323,19.156,29.123,19155.621,29123.296,48.279,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
STATIC_HETERO_PARTITIONING,4096,1536,512,15,230.054,0.230,110.132,13.537,230.053,8.037,34.934,5.441,23.653,19.348,84.102,0.399,5.067,10.822,12,94.195,13.885,225.290,1157.067,18774.159,239.175,2,81.721,15.871,70.956,7935.477,35478.065,86.827,1,94.480,9.540,163.304,9540.278,163304.089,172.844,0,0.000,0.000,0.000,0.000,0.000,0.000
STATIC_HETERO_PARTITIONING,4096,1536,512,20,1531.18,1.531,219.893,34.187,1531.178,43.224,28.229,32.610,21.297,107.192,70.006,0.344,7.828,10.833,14,92.754,22.070,282.513,1576.441,20179.521,304.583,3,77.762,20.112,70.327,6704.047,23442.392,90.439,2,98.302,26.000,1504.972,13000.211,752485.873,1530.972,1,94.277,21.001,345.973,21001.377,345973.282,366.975
STATIC_HETERO_PARTITIONING,4096,1536,512,25,392.286,0.392,154.789,21.856,392.285,20.800,53.023,19.772,50.402,103.943,264.967,0.292,3.869,7.314,17,95.647,17.260,379.254,1015.286,22309.070,396.514,5,88.584,17.303,134.262,3460.539,26852.336,151.564,2,78.526,16.070,58.765,8035.114,29382.251,74.835,1,93.312,10.920,152.362,10920.162,152362.205,163.282
STATIC_HETERO_PARTITIONING,4096,1536,512,30,2896.28,2.896,314.007,26.564,2896.274,78.031,26.942,57.648,19.904,384.371,132.712,0.276,4.727,6.696,19,96.929,18.679,589.587,983.086,31030.886,608.265,6,89.393,18.838,158.759,3139.690,26459.777,177.597,3,99.515,14.042,2882.226,4680.584,960741.968,2896.268,2,92.677,14.983,189.622,7491.737,94811.087,204.606
STATIC_HETERO_PARTITIONING,4096,1536,512,35,525.748,0.526,206.367,37.813,525.747,20.820,39.602,13.787,26.223,70.512,134.117,0.302,6.012,9.616,21,94.554,28.845,500.825,1373.581,23848.831,529.671,7,86.709,25.619,167.131,3659.850,23875.865,192.750,3,84.004,21.430,112.538,7143.298,37512.692,133.968,4,91.195,23.946,248.002,5986.576,62000.520,271.948
STATIC_HETERO_PARTITIONING,4096,1536,512,40,665.852,0.666,221.756,32.471,665.851,26.917,40.426,18.392,27.622,44.039,66.139,0.580,9.108,15.886,21,95.152,25.352,497.565,1207.262,23693.582,522.918,8,88.593,26.399,205.040,3299.899,25630.034,231.439,5,96.982,20.097,645.744,4019.395,129148.897,665.841,6,94.323,19.376,321.903,3229.295,53650.493,341.279
STATIC_HETERO_PARTITIONING,4096,1536,512,45,568.233,0.568,235.945,40.023,568.232,24.217,42.618,16.094,28.322,41.894,73.727,0.478,5.198,9.459,23,94.316,32.499,539.289,1412.984,23447.344,571.788,10,88.125,31.290,232.200,3129.010,23219.971,263.490,5,82.236,28.812,133.377,5762.305,26675.344,162.188,7,94.014,25.033,393.186,3576.192,56169.429,418.219
STATIC_HETERO_PARTITIONING,4096,1536,512,50,733.387,0.733,271.498,41.244,733.386,29.048,39.608,18.970,25.867,53.905,73.501,0.562,11.133,11.842,25,95.600,32.462,705.300,1298.468,28212.009,737.762,11,90.703,28.603,279.047,2600.303,25367.940,307.651,6,93.721,27.970,417.476,4661.731,69579.368,445.447,8,92.249,25.227,300.227,3153.397,37528.426,325.455
