Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
STATIC_PARTITIONING,2048,2048,2048,10,131.85,0.132,75.842,33.089,131.850,16.580,125.746,19.096,144.832,66.017,500.699,0.362,2.342,0.298,8,82.789,24.108,115.967,3013.525,14495.865,140.075,1,36.768,26.152,15.207,26152.270,15206.907,41.359,1,55.254,20.363,25.146,20363.145,25145.615,45.509,0,0.000,0.000,0.000,0.000,0.000,0.000
STATIC_PARTITIONING,2048,2048,2048,20,357.39,0.357,159.140,29.008,357.389,13.023,36.440,9.788,27.387,28.848,80.719,0.408,1.815,0.572,15,93.270,24.179,335.105,1611.917,22340.355,359.284,2,58.046,18.405,25.464,9202.409,12731.937,43.869,2,70.917,25.001,60.964,12500.583,30482.124,85.965,1,88.769,16.999,134.360,16999.290,134359.615,151.359
STATIC_PARTITIONING,2048,2048,2048,30,578.907,0.579,254.908,53.998,578.906,18.409,31.799,12.825,22.154,24.620,42.528,1.305,2.806,0.911,22,90.662,54.394,528.140,2472.465,24006.343,582.534,4,52.558,46.481,51.492,11620.144,12873.082,97.973,3,67.743,49.968,104.936,16655.971,34978.755,154.904,1,77.964,46.943,166.090,46943.051,166089.586,213.033
STATIC_PARTITIONING,2048,2048,2048,40,537.428,0.537,234.956,27.273,537.427,19.597,36.464,14.071,26.182,31.639,58.871,0.725,2.084,0.802,30,96.230,16.999,433.972,566.649,14465.730,450.971,4,75.452,16.993,52.230,4248.278,13057.577,69.223,4,97.407,13.936,523.487,3483.952,130871.670,537.422,2,97.747,10.466,453.996,5232.763,226998.087,464.462
STATIC_PARTITIONING,2048,2048,2048,50,535.39,0.535,246.910,25.226,535.389,20.701,38.665,14.517,27.114,45.800,85.545,0.773,1.886,1.020,37,97.676,12.488,524.947,337.524,14187.751,537.435,6,82.487,14.441,68.019,2406.869,11336.561,82.461,5,94.461,8.143,138.864,1628.639,27772.712,147.007,2,97.674,8.002,335.993,4001.015,167996.676,343.995
STATIC_PARTITIONING,2048,2048,2048,60,623.867,0.624,284.540,23.260,623.866,23.325,37.388,15.909,25.500,51.216,82.094,0.885,1.819,1.090,45,97.429,16.251,615.937,361.142,13687.488,632.188,7,81.186,18.249,78.750,2607.059,11250.020,97.000,6,92.545,14.007,173.874,2334.472,28978.995,187.881,2,97.877,9.499,437.977,4749.693,218988.720,447.477
STATIC_PARTITIONING,2048,2048,2048,70,739.799,0.740,327.799,20.520,739.798,29.503,39.880,20.943,28.309,57.842,78.186,0.894,2.011,1.108,52,98.154,13.803,733.939,265.440,14114.206,747.742,8,86.194,15.008,93.695,1875.961,11711.924,108.703,7,94.744,9.578,172.645,1368.348,24663.507,182.223,3,98.697,8.005,606.400,2668.169,202133.357,614.405
STATIC_PARTITIONING,2048,2048,2048,80,705.926,0.706,281.309,16.305,705.920,29.656,42.010,20.225,28.650,63.388,89.794,3.001,1.141,0.637,45,97.369,19.027,704.035,422.814,15645.225,723.062,20,93.532,15.141,218.942,757.036,10947.097,234.083,12,95.280,14.213,286.939,1184.410,23911.585,301.152,3,97.974,13.263,641.375,4421.063,213791.792,654.639
STATIC_PARTITIONING,2048,2048,2048,90,883.98,0.884,369.150,26.911,883.978,34.489,39.015,23.293,26.350,87.044,98.468,0.609,1.056,0.719,60,98.162,16.330,871.946,272.162,14532.429,888.275,16,91.181,16.874,174.460,1054.638,10903.776,191.335,11,95.969,10.479,249.477,952.634,22679.684,259.955,3,97.976,11.626,562.901,3875.298,187633.541,574.527
STATIC_PARTITIONING,2048,2048,2048,100,948.543,0.949,387.399,19.249,948.541,37.863,39.917,24.855,26.204,105.890,111.634,1.284,1.038,0.823,63,98.671,12.713,944.021,201.791,14984.462,956.734,20,95.401,11.005,228.285,550.265,11414.240,239.290,13,97.521,8.122,319.478,624.751,24575.235,327.600,4,99.027,9.129,929.313,2282.335,232328.180,938.442
