Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
CUDA,0,512,512,512,0.590014,0.063752
CUDA,0,512,512,1024,0.905299,0.391863
CUDA,0,512,512,1536,1.21815,0.276476
CUDA,0,512,512,2048,1.51171,0.378775
CUDA,0,512,512,2560,1.81632,0.539926
CUDA,0,512,512,3072,2.12568,0.359988
CUDA,0,512,512,3584,2.44353,0.574811
CUDA,0,512,512,4096,2.71723,0.540784
CUDA,0,512,1024,512,0.909634,0.105344
CUDA,0,512,1024,1024,1.39391,0.325886
CUDA,0,512,1024,1536,1.86198,0.458326
CUDA,0,512,1024,2048,2.35244,0.447344
CUDA,0,512,1024,2560,2.82601,0.399787
CUDA,0,512,1024,3072,3.32954,0.449989
CUDA,0,512,1024,3584,3.78121,0.514807
CUDA,0,512,1024,4096,4.235,0.428488
CUDA,0,512,1536,512,1.21548,0.47521
CUDA,0,512,1536,1024,1.86393,0.416907
CUDA,0,512,1536,1536,2.4918,0.384526
CUDA,0,512,1536,2048,3.14373,0.46841
CUDA,0,512,1536,2560,3.78517,0.350538
CUDA,0,512,1536,3072,4.38743,0.534239
CUDA,0,512,1536,3584,5.02699,0.445691
CUDA,0,512,1536,4096,5.60535,0.438088
CUDA,0,512,2048,512,1.54403,0.540642
CUDA,0,512,2048,1024,2.3468,0.429992
CUDA,0,512,2048,1536,3.17216,0.499538
CUDA,0,512,2048,2048,3.97772,0.389656
CUDA,0,512,2048,2560,4.78056,0.436064
CUDA,0,512,2048,3072,5.5627,0.509701
CUDA,0,512,2048,3584,6.34181,0.461474
CUDA,0,512,2048,4096,7.14295,0.492733
CUDA,0,512,2560,512,1.85202,0.329146
CUDA,0,512,2560,1024,2.82532,0.290679
CUDA,0,512,2560,1536,3.78964,0.360904
CUDA,0,512,2560,2048,4.76208,0.456843
CUDA,0,512,2560,2560,5.70074,0.478887
CUDA,0,512,2560,3072,6.67226,0.661057
CUDA,0,512,2560,3584,7.70093,0.492104
CUDA,0,512,2560,4096,8.68635,0.350471
CUDA,0,512,3072,512,2.12144,0.231109
CUDA,0,512,3072,1024,3.30561,0.359188
CUDA,0,512,3072,1536,4.39012,0.394108
CUDA,0,512,3072,2048,5.57766,0.341087
CUDA,0,512,3072,2560,6.65629,0.504057
CUDA,0,512,3072,3072,7.83697,0.419194
CUDA,0,512,3072,3584,8.93356,0.44622
CUDA,0,512,3072,4096,10.1468,0.65886
CUDA,0,512,3584,512,2.46079,0.244211
CUDA,0,512,3584,1024,3.7719,0.28948
CUDA,0,512,3584,1536,5.06774,0.315702
CUDA,0,512,3584,2048,6.35567,0.354697
CUDA,0,512,3584,2560,7.67227,0.386416
CUDA,0,512,3584,3072,8.97457,0.518844
CUDA,0,512,3584,3584,10.3363,0.444229
CUDA,0,512,3584,4096,11.6999,0.370073
CUDA,0,512,4096,512,2.77666,0.442813
CUDA,0,512,4096,1024,4.18603,0.444939
CUDA,0,512,4096,1536,5.62643,0.517343
CUDA,0,512,4096,2048,7.07671,0.403772
CUDA,0,512,4096,2560,8.51993,0.284331
CUDA,0,512,4096,3072,10.0187,0.540929
CUDA,0,512,4096,3584,11.547,0.455727
CUDA,0,512,4096,4096,13.1457,0.399124
CUDA,0,1024,512,512,0.905162,0.420404
CUDA,0,1024,512,1024,1.38559,0.538113
CUDA,0,1024,512,1536,1.85712,0.298082
CUDA,0,1024,512,2048,2.33316,0.562587
CUDA,0,1024,512,2560,2.82725,0.406096
CUDA,0,1024,512,3072,3.29221,0.415017
CUDA,0,1024,512,3584,3.76279,0.487065
CUDA,0,1024,512,4096,4.23675,0.556562
CUDA,0,1024,1024,512,1.40955,0.314914
CUDA,0,1024,1024,1024,2.04713,0.328332
CUDA,0,1024,1024,1536,2.75839,0.381098
CUDA,0,1024,1024,2048,3.43901,0.464324
CUDA,0,1024,1024,2560,4.06691,0.524311
CUDA,0,1024,1024,3072,4.74605,0.392152
CUDA,0,1024,1024,3584,5.43226,0.533387
CUDA,0,1024,1024,4096,6.10726,0.586069
CUDA,0,1024,1536,512,1.85487,0.383036
CUDA,0,1024,1536,1024,2.76885,0.425503
CUDA,0,1024,1536,1536,3.62624,0.32568
CUDA,0,1024,1536,2048,4.47848,0.44058
CUDA,0,1024,1536,2560,5.33992,0.516477
CUDA,0,1024,1536,3072,6.24926,0.422198
CUDA,0,1024,1536,3584,7.09584,0.543169
CUDA,0,1024,1536,4096,8.07734,0.393983
CUDA,0,1024,2048,512,2.37985,0.282482
CUDA,0,1024,2048,1024,3.43065,0.383125
CUDA,0,1024,2048,1536,4.49984,0.376081
CUDA,0,1024,2048,2048,5.59049,0.36834
CUDA,0,1024,2048,2560,6.65801,0.409545
CUDA,0,1024,2048,3072,7.75007,0.335324
CUDA,0,1024,2048,3584,8.81224,0.409404
CUDA,0,1024,2048,4096,9.96571,0.494543
CUDA,0,1024,2560,512,2.87143,0.417184
CUDA,0,1024,2560,1024,4.1403,0.270405
CUDA,0,1024,2560,1536,5.40376,0.327934
CUDA,0,1024,2560,2048,6.69936,0.227822
CUDA,0,1024,2560,2560,8.02431,0.431608
CUDA,0,1024,2560,3072,9.24248,0.540997
CUDA,0,1024,2560,3584,10.5568,0.529698
CUDA,0,1024,2560,4096,11.9118,0.176665
CUDA,0,1024,3072,512,3.30038,0.314814
CUDA,0,1024,3072,1024,4.75322,0.346354
CUDA,0,1024,3072,1536,6.27205,0.376242
CUDA,0,1024,3072,2048,7.82193,0.378868
CUDA,0,1024,3072,2560,9.34732,0.388368
CUDA,0,1024,3072,3072,10.8032,0.427644
CUDA,0,1024,3072,3584,12.27,0.469416
CUDA,0,1024,3072,4096,13.8115,0.325358
CUDA,0,1024,3584,512,3.74178,0.466973
CUDA,0,1024,3584,1024,5.4444,0.465051
CUDA,0,1024,3584,1536,7.17503,0.140636
CUDA,0,1024,3584,2048,8.95589,0.334104
CUDA,0,1024,3584,2560,10.5916,0.456095
CUDA,0,1024,3584,3072,12.4381,0.4275
CUDA,0,1024,3584,3584,14.0995,0.551873
CUDA,0,1024,3584,4096,15.8603,0.56284
