Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
OPENBLAS,1,512,512,512,3.80764,0.336451
OPENBLAS,1,512,512,1024,7.13895,1.43523
OPENBLAS,1,512,512,1536,11.0387,0.368365
OPENBLAS,1,512,512,2048,13.9234,2.26197
OPENBLAS,1,512,512,2560,18.0123,0.514451
OPENBLAS,1,512,512,3072,21.5524,2.89986
OPENBLAS,1,512,512,3584,24.1402,-0.964328
OPENBLAS,1,512,512,4096,30.3867,0.453687
OPENBLAS,1,512,1024,512,7.60807,0.532149
OPENBLAS,1,512,1024,1024,15.1429,0.59015
OPENBLAS,1,512,1024,1536,21.8924,0.953802
OPENBLAS,1,512,1024,2048,29.5471,-0.192335
OPENBLAS,1,512,1024,2560,36.8366,0.359709
OPENBLAS,1,512,1024,3072,44.3506,1.33382
OPENBLAS,1,512,1024,3584,51.7813,1.31763
OPENBLAS,1,512,1024,4096,60.3183,0.269604
OPENBLAS,1,512,1536,512,11.411,0.865043
OPENBLAS,1,512,1536,1024,22.4256,0.982323
OPENBLAS,1,512,1536,1536,31.6024,2.56112
OPENBLAS,1,512,1536,2048,43.9011,1.46079
OPENBLAS,1,512,1536,2560,54.5301,1.51481
OPENBLAS,1,512,1536,3072,66.0013,-1.30479
OPENBLAS,1,512,1536,3584,76.1209,9.76223
OPENBLAS,1,512,1536,4096,85.2661,2.11785
OPENBLAS,1,512,2048,512,14.5667,1.08818
OPENBLAS,1,512,2048,1024,29.0241,1.32644
OPENBLAS,1,512,2048,1536,43.8073,-0.216467
OPENBLAS,1,512,2048,2048,55.8656,1.04833
OPENBLAS,1,512,2048,2560,72.8124,-2.20333
OPENBLAS,1,512,2048,3072,87.358,-0.237221
OPENBLAS,1,512,2048,3584,101.829,9.57419
OPENBLAS,1,512,2048,4096,115.313,6.39996
OPENBLAS,1,512,2560,512,16.7716,0.986807
OPENBLAS,1,512,2560,1024,32.6899,0.651123
OPENBLAS,1,512,2560,1536,49.0282,0.741815
OPENBLAS,1,512,2560,2048,66.2369,-0.070905
OPENBLAS,1,512,2560,2560,76.7812,0.974234
OPENBLAS,1,512,2560,3072,92.5489,-0.731696
OPENBLAS,1,512,2560,3584,124.968,4.36202
OPENBLAS,1,512,2560,4096,163.32,-7.5333
OPENBLAS,1,512,3072,512,22.4972,1.01749
OPENBLAS,1,512,3072,1024,44.6191,1.38093
OPENBLAS,1,512,3072,1536,63.6991,1.62406
OPENBLAS,1,512,3072,2048,87.3682,7.03832
OPENBLAS,1,512,3072,2560,107.749,8.97696
OPENBLAS,1,512,3072,3072,144.967,3.0528
OPENBLAS,1,512,3072,3584,166.983,1.39697
OPENBLAS,1,512,3072,4096,192.455,-4.96761
OPENBLAS,1,512,3584,512,26.0573,-0.343516
OPENBLAS,1,512,3584,1024,50.5757,0.074595
OPENBLAS,1,512,3584,1536,74.0401,8.39122
OPENBLAS,1,512,3584,2048,101.61,9.73827
OPENBLAS,1,512,3584,2560,143.982,-3.87716
OPENBLAS,1,512,3584,3072,169.018,-1.47719
OPENBLAS,1,512,3584,3584,196.573,2.29256
OPENBLAS,1,512,3584,4096,194.569,16.5558
OPENBLAS,1,512,4096,512,26.3124,0.296692
OPENBLAS,1,512,4096,1024,49.6579,1.68428
OPENBLAS,1,512,4096,1536,82.2789,8.31403
OPENBLAS,1,512,4096,2048,113.963,-10.5491
OPENBLAS,1,512,4096,2560,149.247,-4.86956
OPENBLAS,1,512,4096,3072,175.641,-14.4497
OPENBLAS,1,512,4096,3584,205.153,-11.7694
OPENBLAS,1,512,4096,4096,266.243,-10.5562
OPENBLAS,1,1024,512,512,7.42934,0.595458
OPENBLAS,1,1024,512,1024,14.5839,0.944168
OPENBLAS,1,1024,512,1536,22.6754,0.760805
OPENBLAS,1,1024,512,2048,30.4171,0.631986
OPENBLAS,1,1024,512,2560,38.2445,0.874771
OPENBLAS,1,1024,512,3072,46.1403,1.30027
OPENBLAS,1,1024,512,3584,52.7881,1.37133
OPENBLAS,1,1024,512,4096,58.4193,1.68743
OPENBLAS,1,1024,1024,512,14.7183,0.612088
OPENBLAS,1,1024,1024,1024,29.1126,0.339201
OPENBLAS,1,1024,1024,1536,41.8729,0.443767
OPENBLAS,1,1024,1024,2048,54.9319,2.13094
OPENBLAS,1,1024,1024,2560,73.7538,-2.09639
OPENBLAS,1,1024,1024,3072,84.5294,1.17774
OPENBLAS,1,1024,1024,3584,98.9985,4.64174
OPENBLAS,1,1024,1024,4096,113.767,4.52739
OPENBLAS,1,1024,1536,512,21.9591,1.23176
OPENBLAS,1,1024,1536,1024,41.8653,2.34429
OPENBLAS,1,1024,1536,1536,65.292,-1.218
OPENBLAS,1,1024,1536,2048,84.8503,0.896899
OPENBLAS,1,1024,1536,2560,98.2193,-0.527675
OPENBLAS,1,1024,1536,3072,111.982,-3.37544
OPENBLAS,1,1024,1536,3584,127.311,2.41138
OPENBLAS,1,1024,1536,4096,141.28,9.21023
OPENBLAS,1,1024,2048,512,26.5901,3.30429
OPENBLAS,1,1024,2048,1024,48.8544,1.81726
OPENBLAS,1,1024,2048,1536,78.5922,3.61396
OPENBLAS,1,1024,2048,2048,95.6787,1.85568
OPENBLAS,1,1024,2048,2560,136.89,5.30092
OPENBLAS,1,1024,2048,3072,164.449,5.87831
OPENBLAS,1,1024,2048,3584,195.089,5.19435
OPENBLAS,1,1024,2048,4096,233.537,3.67071
OPENBLAS,1,1024,2560,512,36.136,0.301391
OPENBLAS,1,1024,2560,1024,69.7074,0.100151
OPENBLAS,1,1024,2560,1536,103.239,-0.386361
OPENBLAS,1,1024,2560,2048,135.831,8.96481
OPENBLAS,1,1024,2560,2560,168.885,7.6325
OPENBLAS,1,1024,2560,3072,207.476,7.7916
OPENBLAS,1,1024,2560,3584,259.775,-6.25656
OPENBLAS,1,1024,2560,4096,287.145,6.67096
OPENBLAS,1,1024,3072,512,43.1201,0.369268
OPENBLAS,1,1024,3072,1024,85.6069,1.36399
OPENBLAS,1,1024,3072,1536,122.048,10.2797
OPENBLAS,1,1024,3072,2048,162.527,13.9749
OPENBLAS,1,1024,3072,2560,209.222,-0.604281
OPENBLAS,1,1024,3072,3072,232.044,1.52158
OPENBLAS,1,1024,3072,3584,297.515,1.82998
OPENBLAS,1,1024,3072,4096,337.873,1.86687
OPENBLAS,1,1024,3584,512,49.6414,-1.79836
OPENBLAS,1,1024,3584,1024,95.7641,6.64467
OPENBLAS,1,1024,3584,1536,143.875,10.0701
OPENBLAS,1,1024,3584,2048,188.706,13.8503
OPENBLAS,1,1024,3584,2560,254.368,7.14559
OPENBLAS,1,1024,3584,3072,314.114,7.27209
OPENBLAS,1,1024,3584,3584,367.143,4.31066
OPENBLAS,1,1024,3584,4096,364.592,1.6971
OPENBLAS,1,1024,4096,512,53.4228,0.548615
OPENBLAS,1,1024,4096,1024,105.728,10.5982
OPENBLAS,1,1024,4096,1536,156.854,8.94042
OPENBLAS,1,1024,4096,2048,221.498,15.149
OPENBLAS,1,1024,4096,2560,285.51,6.18328
OPENBLAS,1,1024,4096,3072,383.684,5.05129
OPENBLAS,1,1024,4096,3584,458.888,14.0285
OPENBLAS,1,1024,4096,4096,484.77,3.08133
OPENBLAS,1,1536,512,512,11.6358,0.661382
OPENBLAS,1,1536,512,1024,22.7426,0.910651
OPENBLAS,1,1536,512,1536,33.3689,1.06157
OPENBLAS,1,1536,512,2048,44.1221,1.11385
OPENBLAS,1,1536,512,2560,50.8488,2.38618
OPENBLAS,1,1536,512,3072,61.5434,-0.202313
OPENBLAS,1,1536,512,3584,72.4472,2.00623
OPENBLAS,1,1536,512,4096,80.7033,0.569586
OPENBLAS,1,1536,1024,512,21.5693,-0.179095
OPENBLAS,1,1536,1024,1024,40.7928,1.11943
OPENBLAS,1,1536,1024,1536,60.494,-0.752557
OPENBLAS,1,1536,1024,2048,80.4946,0.019759
OPENBLAS,1,1536,1024,2560,107.44,-1.57128
OPENBLAS,1,1536,1024,3072,133.727,-0.160536
OPENBLAS,1,1536,1024,3584,154.478,-4.21695
OPENBLAS,1,1536,1024,4096,162.553,1.43524
OPENBLAS,1,1536,1536,512,31.6623,1.63902
OPENBLAS,1,1536,1536,1024,65.9547,-0.576977
OPENBLAS,1,1536,1536,1536,97.3855,1.16482
OPENBLAS,1,1536,1536,2048,124.346,4.04804
OPENBLAS,1,1536,1536,2560,148.78,9.59483
OPENBLAS,1,1536,1536,3072,177.388,4.68697
OPENBLAS,1,1536,1536,3584,206.564,16.7615
OPENBLAS,1,1536,1536,4096,238.291,15.3572
OPENBLAS,1,1536,2048,512,41.105,0.170284
OPENBLAS,1,1536,2048,1024,81.397,3.15533
OPENBLAS,1,1536,2048,1536,120.043,4.00628
OPENBLAS,1,1536,2048,2048,156.764,13.5475
OPENBLAS,1,1536,2048,2560,177.114,5.06846
OPENBLAS,1,1536,2048,3072,207.105,28.9992
OPENBLAS,1,1536,2048,3584,300.447,-15.3707
OPENBLAS,1,1536,2048,4096,323.38,6.36401
OPENBLAS,1,1536,2560,512,51.7511,-0.47706
OPENBLAS,1,1536,2560,1024,99.933,1.81637
OPENBLAS,1,1536,2560,1536,147.986,10.2577
OPENBLAS,1,1536,2560,2048,193.929,16.6378
OPENBLAS,1,1536,2560,2560,244.565,20.7472
OPENBLAS,1,1536,2560,3072,319.208,-7.37796
OPENBLAS,1,1536,2560,3584,351.066,14.9707
OPENBLAS,1,1536,2560,4096,403.083,11.5272
OPENBLAS,1,1536,3072,512,61.544,-0.083619
OPENBLAS,1,1536,3072,1024,115.081,6.55114
OPENBLAS,1,1536,3072,1536,152.889,18.5315
OPENBLAS,1,1536,3072,2048,202.812,19.1489
OPENBLAS,1,1536,3072,2560,336.914,-29.6601
OPENBLAS,1,1536,3072,3072,369.271,-0.639689
OPENBLAS,1,1536,3072,3584,423.255,8.65327
OPENBLAS,1,1536,3072,4096,481.511,11.3096
OPENBLAS,1,1536,3584,512,71.8596,8.98584
OPENBLAS,1,1536,3584,1024,137.583,6.60832
OPENBLAS,1,1536,3584,1536,196.694,14.5348
OPENBLAS,1,1536,3584,2048,267.201,-3.78586
OPENBLAS,1,1536,3584,2560,311.544,-2.1469
OPENBLAS,1,1536,3584,3072,372.473,14.7204
OPENBLAS,1,1536,3584,3584,445.811,22.6549
OPENBLAS,1,1536,3584,4096,578.987,41.1195
OPENBLAS,1,1536,4096,512,83.8885,8.22195
OPENBLAS,1,1536,4096,1024,159.65,14.9813
OPENBLAS,1,1536,4096,1536,240.065,16.8509
OPENBLAS,1,1536,4096,2048,297.526,14.3004
OPENBLAS,1,1536,4096,2560,390.844,0.846852
