Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
OPENVINO,0,512,512,512,1.48574,14.6482
OPENVINO,0,512,512,1024,2.42974,16.7665
OPENVINO,0,512,512,1536,3.14366,19.688
OPENVINO,0,512,512,2048,4.02512,20.6758
OPENVINO,0,512,512,2560,4.89336,22.6341
OPENVINO,0,512,512,3072,6.17359,30.5105
OPENVINO,0,512,512,3584,7.27053,25.457
OPENVINO,0,512,512,4096,7.98333,35.192
OPENVINO,0,512,1024,512,2.20552,16.9939
OPENVINO,0,512,1024,1024,3.95683,18.8771
OPENVINO,0,512,1024,1536,5.19177,22.9347
OPENVINO,0,512,1024,2048,7.44158,32.1924
OPENVINO,0,512,1024,2560,8.86248,36.653
OPENVINO,0,512,1024,3072,10.3987,39.2793
OPENVINO,0,512,1024,3584,9.76477,40.8573
OPENVINO,0,512,1024,4096,10.6941,43.9155
OPENVINO,0,512,1536,512,2.41959,18.6768
OPENVINO,0,512,1536,1024,4.27411,22.7659
OPENVINO,0,512,1536,1536,7.69647,134.487
OPENVINO,0,512,1536,2048,9.84368,30.6488
OPENVINO,0,512,1536,2560,11.6685,35.6906
OPENVINO,0,512,1536,3072,11.3864,38.2897
OPENVINO,0,512,1536,3584,11.0469,43.2585
OPENVINO,0,512,1536,4096,12.4967,46.797
OPENVINO,0,512,2048,512,2.67595,26.9756
OPENVINO,0,512,2048,1024,5.34868,24.2834
OPENVINO,0,512,2048,1536,8.3661,31.2969
OPENVINO,0,512,2048,2048,12.121,35.9874
OPENVINO,0,512,2048,2560,12.1774,35.9386
OPENVINO,0,512,2048,3072,12.1909,47.5909
OPENVINO,0,512,2048,3584,13.0128,51.6839
OPENVINO,0,512,2048,4096,16.1198,62.4107
OPENVINO,0,512,2560,512,3.29063,22.1303
OPENVINO,0,512,2560,1024,6.48522,27.1038
OPENVINO,0,512,2560,1536,10.0715,34.1041
OPENVINO,0,512,2560,2048,12.6666,41.2628
OPENVINO,0,512,2560,2560,13.9383,51.4551
OPENVINO,0,512,2560,3072,17.4629,218.936
OPENVINO,0,512,2560,3584,15.75,62.9761
