Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
CUDA_ONLY,2048,2048,2048,20,303.358,0.303,165.067,25.884,303.357,8.761,28.881,0.000,0.000,19.607,64.633,0.000,0.000,0.000,20,95.658,13.253,291.987,662.631,14599.330,305.239,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,40,589.828,0.590,313.023,25.806,589.827,16.755,28.407,0.000,0.000,48.503,82.232,0.000,0.000,0.000,40,96.496,20.949,576.988,523.736,14424.689,597.937,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,60,776.036,0.776,411.021,25.036,776.035,22.227,28.642,0.000,0.000,62.968,81.141,0.000,0.000,0.000,60,98.068,15.072,764.955,251.196,12749.250,780.027,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,80,1134.73,1.135,583.095,18.740,1134.725,32.343,28.503,0.000,0.000,135.169,119.120,0.000,0.000,0.000,80,98.892,12.658,1129.944,158.221,14124.295,1142.601,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,100,1403.17,1.403,714.566,25.971,1396.168,39.942,28.466,0.000,0.000,179.556,127.964,0.000,0.000,0.000,100,98.882,15.735,1391.154,157.351,13911.543,1406.889,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,120,1568,1.568,804.048,25.014,1568.001,44.705,28.511,0.000,0.000,216.230,137.901,0.000,0.000,0.000,120,99.085,14.385,1556.939,119.878,12974.492,1571.324,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,140,1890.02,1.890,976.609,25.020,1890.016,53.720,28.423,0.000,0.000,276.407,146.246,0.000,0.000,0.000,140,99.209,14.987,1878.937,107.047,13420.980,1893.924,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,160,2149.96,2.150,1112.146,24.973,2149.961,61.280,28.503,0.000,0.000,228.971,106.500,0.000,0.000,0.000,160,99.290,15.304,2138.936,95.648,13368.348,2154.239,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,180,2513.64,2.514,1271.767,24.476,2513.640,72.567,28.869,0.000,0.000,120.086,47.774,0.000,0.000,0.000,180,99.502,12.523,2503.113,69.571,13906.186,2515.636,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,200,2550.83,2.551,1281.498,18.842,2550.831,74.276,29.118,0.000,0.000,127.215,49.872,0.000,0.000,0.000,200,99.500,12.793,2545.924,63.966,12729.619,2558.717,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,220,2747.81,2.748,1398.992,28.825,2747.809,78.794,28.675,0.000,0.000,160.988,58.588,0.000,0.000,0.000,220,99.316,18.820,2730.917,85.547,12413.261,2749.738,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,240,2958.81,2.959,1492.397,18.812,2958.802,85.441,28.877,0.000,0.000,192.519,65.066,0.000,0.000,0.000,240,99.567,12.833,2953.919,53.472,12307.995,2966.752,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,260,3357.92,3.358,1721.223,27.418,3357.911,95.381,28.405,0.000,0.000,260.646,77.621,0.000,0.000,0.000,260,99.381,20.802,3340.915,80.008,12849.672,3361.717,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,280,3503.02,3.503,1775.192,38.026,3503.011,99.895,28.517,0.000,0.000,345.032,98.496,0.000,0.000,0.000,280,99.200,28.067,3478.904,100.239,12424.656,3506.970,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,300,3848.03,3.848,1945.301,33.046,3848.028,109.852,28.548,0.000,0.000,283.967,73.795,0.000,0.000,0.000,300,99.371,24.245,3827.911,80.816,12759.703,3852.156,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,320,4018.01,4.018,2029.006,32.013,4018.002,115.446,28.732,0.000,0.000,254.683,63.385,0.000,0.000,0.000,320,99.464,21.568,3999.901,67.400,12499.692,4021.469,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,340,4422.95,4.423,2228.708,37.958,4422.947,125.533,28.382,0.000,0.000,377.354,85.317,0.000,0.000,0.000,340,99.361,28.311,4398.895,83.268,12937.925,4427.206,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,360,4510.95,4.511,2278.224,31.964,4510.945,129.225,28.647,0.000,0.000,470.709,104.348,0.000,0.000,0.000,360,99.498,22.675,4491.895,62.986,12477.487,4514.570,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,380,4783.4,13.433,6632.653,47.285,13433.403,359.229,26.741,0.000,0.000,468.710,77.397,0.000,0.000,0.000,380,99.811,25.411,13412.317,66.870,35295.571,13437.728,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,400,5011.03,5.011,2524.071,33.034,5011.019,140.295,27.997,0.000,0.000,465.042,92.804,0.000,0.000,0.000,400,99.549,22.620,4991.875,56.549,12479.688,5014.495,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,420,5173.75,5.174,2599.907,24.761,5173.743,147.887,28.584,0.000,0.000,631.190,121.999,0.000,0.000,0.000,420,99.753,12.774,5162.871,30.415,12292.550,5175.645,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,440,5473.73,5.474,2743.564,18.736,5473.723,155.874,28.477,0.000,0.000,545.499,99.658,0.000,0.000,0.000,440,99.767,12.799,5468.870,29.089,12429.251,5481.670,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,460,5706.95,5.707,2859.949,30.169,5706.941,161.894,28.368,0.000,0.000,417.168,73.098,0.000,0.000,0.000,460,99.695,17.430,5693.856,37.892,12377.949,5711.287,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,480,5857.63,5.858,2948.431,24.638,5857.623,168.266,28.726,0.000,0.000,593.147,101.261,0.000,0.000,0.000,480,99.784,12.672,5846.886,26.400,12181.013,5859.558,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2048,2048,2048,490,6088.97,6.089,3072.098,24.968,6088.958,175.254,28.782,0.000,0.000,733.187,120.412,0.000,0.000,0.000,490,99.762,14.511,6077.855,29.615,12403.786,6092.367,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
