Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
CUDA_ONLY,2560,1024,2048,5,101.388,0.101,65.207,29.135,101.388,2.958,29.171,0.000,0.000,8.167,80.552,0.000,0.000,0.000,5,80.402,20.580,84.426,4115.924,16885.297,105.006,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2560,1024,2048,10,185.781,0.186,108.764,28.254,185.781,5.411,29.124,0.000,0.000,16.445,88.518,0.000,0.000,0.000,10,89.530,19.844,169.693,1984.408,16969.279,189.537,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2560,1024,2048,15,259.118,0.259,135.991,18.166,259.118,7.648,29.516,0.000,0.000,34.447,132.939,0.000,0.000,0.000,15,93.845,16.607,253.207,1107.123,16880.482,269.814,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2560,1024,2048,20,369.434,0.369,181.403,18.187,369.433,10.705,28.976,0.000,0.000,35.712,96.667,0.000,0.000,0.000,20,95.594,16.751,363.463,837.566,18173.153,380.214,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2560,1024,2048,25,470.776,0.471,238.874,27.270,470.776,13.425,28.516,0.000,0.000,46.256,98.255,0.000,0.000,0.000,25,95.908,19.398,454.683,775.917,18187.313,474.081,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2560,1024,2048,30,559.067,0.559,295.140,34.603,559.066,15.823,28.302,0.000,0.000,47.900,85.678,0.000,0.000,0.000,30,95.495,25.331,536.979,844.364,17899.314,562.310,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2560,1024,2048,35,613.313,0.613,326.746,25.307,613.313,17.207,28.056,0.000,0.000,51.147,83.395,0.000,0.000,0.000,35,97.294,16.699,600.390,477.100,17153.996,617.088,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2560,1024,2048,40,673.043,0.673,373.518,29.249,673.042,19.154,28.458,0.000,0.000,57.307,85.146,0.000,0.000,0.000,40,96.991,20.348,655.957,508.707,16398.935,676.306,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2560,1024,2048,45,759.028,0.759,422.426,34.273,759.027,20.986,27.649,0.000,0.000,66.453,87.550,0.000,0.000,0.000,45,96.451,27.080,735.924,601.767,16353.877,763.004,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
CUDA_ONLY,2560,1024,2048,50,845.291,0.845,452.707,29.254,845.290,23.836,28.199,0.000,0.000,70.130,82.966,0.000,0.000,0.000,50,97.494,21.285,828.194,425.700,16563.883,849.479,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
