Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
DYNAMIC,1024,1024,1024,50,700.353,0.700,216.474,107.013,700.353,24.154,34.489,0.000,0.000,37.585,53.666,0.175,0.338,0.177,26,55.064,150.033,183.849,5770.498,7071.110,333.882,1,81.888,135.117,610.900,135116.541,610899.502,746.016,13,58.188,142.041,197.675,10926.258,15205.780,339.716,10,55.250,152.903,188.776,15290.279,18877.627,341.679
DYNAMIC,1024,1024,1024,100,207.531,0.208,108.806,13.442,207.529,10.248,49.382,0.000,0.000,18.146,87.437,0.078,30.291,0.113,32,38.513,125.198,78.420,3912.430,2450.610,203.617,38,69.858,61.065,141.527,1606.972,3724.384,202.592,22,88.722,23.405,184.120,1063.858,8369.105,207.525,8,91.656,16.973,186.438,2121.642,23304.712,203.411
DYNAMIC,1024,1024,1024,150,311.322,0.311,161.864,13.454,311.318,16.248,52.190,0.000,0.000,22.713,72.957,0.086,20.337,0.100,49,38.426,187.978,117.312,3836.286,2394.117,305.290,55,64.826,108.776,200.478,1977.743,3645.051,309.254,33,88.556,35.628,275.686,1079.638,8354.129,311.314,13,92.806,22.186,286.204,1706.624,22015.688,308.390
DYNAMIC,1024,1024,1024,200,390.909,0.391,196.556,7.218,390.904,20.161,51.574,0.000,0.000,36.245,92.720,0.067,30.303,0.107,63,38.478,238.296,149.038,3782.471,2365.675,387.333,76,66.475,129.771,257.320,1707.507,3385.795,387.091,45,86.350,54.090,342.165,1202.007,7603.663,396.255,16,94.365,22.043,369.172,1377.717,23073.277,391.216
DYNAMIC,1024,1024,1024,250,460.063,0.460,234.678,14.523,460.057,24.950,54.232,0.000,0.000,36.326,78.959,0.089,36.329,0.097,72,39.111,279.173,179.324,3877.407,2490.613,458.497,100,64.502,161.908,294.197,1619.081,2941.966,456.105,59,85.085,68.617,391.434,1162.993,6634.468,460.050,19,93.159,30.684,417.867,1614.953,21992.983,448.551
DYNAMIC,1024,1024,1024,300,567.622,0.568,280.031,14.451,567.616,29.256,51.541,0.000,0.000,59.455,104.744,0.051,40.262,0.106,89,38.716,335.898,212.207,3774.140,2384.343,548.105,112,62.496,204.206,340.286,1823.264,3038.271,544.492,76,88.371,63.359,481.476,833.674,6335.206,544.835,23,93.907,34.463,531.136,1498.373,23092.851,565.598
DYNAMIC,1024,1024,1024,350,635.788,0.636,323.314,14.203,635.780,33.130,52.108,0.000,0.000,63.652,100.115,0.074,17.415,0.124,104,37.528,402.460,241.769,3869.811,2324.700,644.229,133,63.055,237.355,405.108,1784.624,3045.924,642.463,87,86.009,89.940,552.889,1033.797,6355.046,642.829,26,95.396,29.262,606.246,1125.446,23317.168,635.508
DYNAMIC,1024,1024,1024,400,1040.25,1.040,365.047,13.757,1040.247,55.622,53.469,0.000,0.000,161.937,155.671,0.067,27.772,0.113,116,37.963,443.305,271.282,3821.591,2338.639,714.587,151,63.489,260.102,452.296,1722.532,2995.339,712.398,102,91.969,82.825,948.426,812.006,9298.292,1031.250,31,96.355,37.839,1000.282,1220.617,32267.154,1038.121
DYNAMIC,1024,1024,1024,450,757.155,0.757,380.163,12.904,757.146,41.477,54.780,0.000,0.000,22.858,30.189,0.072,4.512,0.126,124,87.615,94.188,666.286,759.583,5373.277,760.475,183,51.150,368.586,385.939,2014.133,2108.956,754.525,110,95.397,34.691,718.922,315.370,6535.651,753.612,33,96.411,27.160,729.615,823.020,22109.555,756.775
DYNAMIC,1024,1024,1024,500,965.096,0.965,442.965,9.345,965.085,51.236,53.089,0.000,0.000,32.140,33.302,0.065,36.291,0.117,145,37.972,547.655,335.265,3776.929,2312.171,882.920,193,62.595,330.298,552.733,1711.388,2863.900,883.031,126,86.811,115.948,763.156,920.222,6056.794,879.104,36,94.989,48.516,919.583,1347.663,25543.983,968.099
