Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
STATIC_HETERO_PARTITIONING,2560,1024,2048,5,93.6795,0.094,59.988,26.501,93.678,2.790,29.787,0.000,0.000,10.431,111.348,0.311,2.614,12.418,5,82.981,16.294,79.442,3258.730,15888.478,95.736,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000
STATIC_HETERO_PARTITIONING,2560,1024,2048,10,123.929,0.124,70.327,27.298,123.929,5.450,43.977,0.000,0.000,8.651,69.806,0.316,4.952,12.933,6,84.155,20.314,107.888,3385.608,17981.312,128.202,2,82.573,19.463,92.219,9731.668,46109.547,111.682,1,31.373,18.731,8.563,18730.995,8562.800,27.294,1,79.269,12.443,47.578,12443.014,47578.298,60.021
STATIC_HETERO_PARTITIONING,2560,1024,2048,15,309.638,0.310,133.286,32.840,309.638,10.308,33.290,0.000,0.000,29.280,94.562,0.322,6.580,12.274,10,92.509,23.342,288.252,2334.191,28825.152,311.593,3,78.542,20.545,75.197,6848.267,25065.808,95.742,1,37.045,19.176,11.284,19176.349,11284.191,30.461,1,65.350,24.001,45.267,24001.199,45266.644,69.268
STATIC_HETERO_PARTITIONING,2560,1024,2048,20,279.678,0.280,119.963,25.383,279.677,11.213,40.093,0.000,0.000,30.123,107.706,0.619,7.571,15.541,12,94.170,16.518,266.813,1376.461,22234.438,283.331,4,88.947,16.561,133.271,4140.317,33317.819,149.833,2,78.121,15.565,55.579,7782.617,27789.272,71.144,2,89.727,10.161,88.747,5080.310,44373.700,98.908
STATIC_HETERO_PARTITIONING,2560,1024,2048,25,304.922,0.305,136.272,27.940,304.921,13.852,45.429,0.000,0.000,21.326,69.939,0.492,9.960,14.075,13,94.340,17.379,289.686,1336.857,22283.551,307.065,6,93.997,13.536,211.957,2255.976,35326.144,225.493,2,79.637,13.867,54.233,6933.469,27116.353,68.100,4,93.157,12.926,175.974,3231.429,43993.596,188.900
STATIC_HETERO_PARTITIONING,2560,1024,2048,30,375.794,0.376,159.086,29.703,375.793,15.978,42.517,0.000,0.000,40.198,106.968,0.541,10.020,12.690,16,93.106,26.335,355.682,1645.956,22230.111,382.017,6,88.460,24.992,191.576,4165.300,31929.402,216.568,3,79.114,21.749,82.382,7249.652,27460.688,104.131,5,87.669,20.979,149.152,4195.867,29830.312,170.131
STATIC_HETERO_PARTITIONING,2560,1024,2048,35,397.43,0.397,182.396,28.635,397.430,18.836,47.395,0.000,0.000,55.603,139.906,0.605,11.503,14.027,18,95.067,19.792,381.383,1099.529,21187.952,401.175,8,93.609,18.297,268.011,2287.147,33501.359,286.308,3,83.543,16.198,82.224,5399.192,27407.863,98.421,6,94.906,13.113,244.309,2185.430,40718.128,257.421
STATIC_HETERO_PARTITIONING,2560,1024,2048,40,447.308,0.447,204.394,28.286,447.307,20.503,45.836,0.000,0.000,38.078,85.127,0.585,12.201,16.313,21,95.677,19.487,431.257,927.955,20536.048,450.744,8,93.833,18.008,273.989,2251.054,34248.644,291.998,4,86.659,16.225,105.396,4056.234,26349.013,121.621,7,95.387,13.132,271.520,1875.946,38788.513,284.651
STATIC_HETERO_PARTITIONING,2560,1024,2048,45,473.233,0.473,220.962,21.215,473.232,22.448,47.435,0.000,0.000,54.554,115.279,0.348,7.159,8.675,24,96.506,16.819,464.530,700.797,19355.428,481.349,9,93.828,18.112,275.364,2012.498,30595.991,293.476,4,87.901,14.007,101.760,3501.766,25440.037,115.767,8,97.256,9.449,334.900,1181.136,41862.510,344.349
STATIC_HETERO_PARTITIONING,2560,1024,2048,50,562.242,0.562,259.782,34.599,562.241,28.099,49.977,0.000,0.000,71.807,127.715,0.433,8.345,9.793,28,95.479,25.585,540.284,913.758,19295.865,565.869,10,92.988,25.060,332.327,2505.972,33232.660,357.386,4,81.460,20.976,92.164,5243.973,23041.081,113.140,8,93.636,22.353,328.886,2794.081,41110.690,351.238
