Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
STATIC_PARTITIONING,1024,1024,1024,50,164.985,0.165,83.249,14.247,164.984,6.978,42.295,0.000,0.000,9.867,59.806,0.940,2.583,1.079,40,90.475,16.110,153.026,402.751,3825.646,169.136,2,45.102,17.098,14.048,8549.243,7023.784,31.146,3,64.801,14.007,25.788,4669.138,8595.853,39.795,5,93.062,8.987,120.542,1797.434,24108.326,129.529
STATIC_PARTITIONING,1024,1024,1024,100,275.484,0.275,121.849,12.662,275.482,11.988,43.518,0.000,0.000,33.172,120.413,0.763,1.490,0.833,70,94.488,15.627,267.905,223.247,3827.219,283.533,13,76.964,17.833,59.581,1371.788,4583.154,77.414,9,83.307,15.060,75.157,1673.314,8350.769,90.217,8,95.258,9.152,183.861,1144.060,22982.648,193.014
STATIC_PARTITIONING,1024,1024,1024,150,409.733,0.410,153.103,13.482,409.730,20.250,49.421,0.000,0.000,30.370,74.121,0.633,0.970,0.808,90,96.220,13.277,337.993,147.518,3755.478,351.270,31,90.734,12.335,120.789,397.898,3896.432,133.124,18,91.496,12.766,137.355,709.236,7630.828,150.121,11,98.378,6.577,398.820,597.924,36256.340,405.397
STATIC_PARTITIONING,1024,1024,1024,200,691.794,0.692,185.855,13.944,691.789,35.267,50.979,0.000,0.000,68.125,98.476,0.810,0.832,0.998,111,96.484,15.491,425.044,139.557,3829.223,440.535,49,92.636,16.540,208.059,337.554,4246.103,224.599,26,91.785,15.036,167.989,578.297,6461.119,183.025,14,98.820,8.138,681.789,581.316,48699.230,689.928
STATIC_PARTITIONING,1024,1024,1024,250,522.221,0.522,217.274,13.911,522.216,25.054,47.976,0.000,0.000,38.512,73.747,0.736,0.813,0.890,132,97.022,15.664,510.364,118.665,3866.396,526.028,66,94.091,16.647,265.063,252.228,4016.105,281.710,35,94.007,14.973,234.863,427.789,6710.362,249.835,17,97.771,8.576,376.221,504.498,22130.619,384.797
STATIC_PARTITIONING,1024,1024,1024,300,883.943,0.884,258.760,19.298,883.936,45.263,51.206,0.000,0.000,86.307,97.639,0.691,0.611,0.823,153,97.001,18.368,594.115,120.050,3883.103,612.482,84,95.386,17.415,360.051,207.317,4286.320,377.465,43,95.257,12.341,247.867,286.993,5764.350,260.208,20,98.625,12.126,869.868,606.297,43493.385,881.994
STATIC_PARTITIONING,1024,1024,1024,350,677.963,0.678,285.171,14.125,677.956,34.222,50.478,0.000,0.000,28.288,41.725,0.869,0.663,1.055,173,97.734,15.441,665.945,89.257,3849.393,681.386,102,96.435,15.278,413.322,149.780,4052.181,428.600,52,96.730,10.992,325.161,211.393,6253.101,336.154,23,98.598,8.446,593.779,367.225,25816.473,602.225
STATIC_PARTITIONING,1024,1024,1024,400,765.338,0.765,321.193,14.088,765.325,38.140,49.835,0.000,0.000,64.403,84.150,0.764,0.534,0.897,194,97.991,15.443,753.293,79.602,3882.952,768.735,120,96.847,16.500,506.870,137.501,4223.917,523.370,60,96.935,10.362,327.705,172.707,5461.752,338.068,26,98.571,9.008,621.365,346.457,23898.649,630.373
STATIC_PARTITIONING,1024,1024,1024,450,853.244,0.853,353.679,14.415,853.235,41.378,48.495,0.000,0.000,76.546,89.712,0.738,0.478,0.847,215,98.125,16.074,841.114,74.763,3912.158,857.188,138,97.242,15.226,536.885,110.334,3890.469,552.111,69,97.326,10.470,381.009,151.737,5521.867,391.479,28,98.520,10.228,680.673,365.276,24309.736,690.900
STATIC_PARTITIONING,1024,1024,1024,500,919.007,0.919,380.859,7.139,918.996,43.918,47.789,0.000,0.000,74.759,81.348,0.711,0.446,0.825,235,98.302,15.792,914.024,67.200,3889.465,929.816,156,97.299,16.904,608.974,108.360,3903.677,625.878,78,97.612,10.662,435.861,136.689,5587.967,446.523,31,98.808,9.012,746.885,290.695,24093.057,755.896
STATIC_PARTITIONING,1024,1024,1024,550,1092.14,1.092,415.997,7.009,1092.130,57.629,52.767,0.000,0.000,95.165,87.136,0.826,0.438,0.985,256,98.427,15.957,998.341,62.333,3899.771,1014.299,174,97.619,16.975,696.041,97.556,4000.237,713.016,86,97.905,10.255,479.337,119.245,5573.685,489.592,34,99.181,8.987,1088.219,264.319,32006.427,1097.205
STATIC_PARTITIONING,1024,1024,1024,600,1087.56,1.088,448.553,12.686,1087.551,53.154,48.875,0.000,0.000,79.004,72.643,0.792,0.442,0.942,277,98.848,12.555,1076.952,45.327,3887.913,1089.507,191,98.015,13.601,671.609,71.211,3516.275,685.210,95,98.605,8.091,571.968,85.167,6020.719,580.059,37,99.178,6.855,826.709,185.281,22343.475,833.564
STATIC_PARTITIONING,1024,1024,1024,650,1173.27,1.173,486.283,14.244,1173.260,58.031,49.461,0.000,0.000,86.362,73.608,0.729,0.417,0.846,298,98.609,16.385,1161.281,54.983,3896.915,1177.666,209,97.818,17.283,774.901,82.692,3707.659,792.183,103,97.849,11.957,543.997,116.085,5281.527,555.954,40,99.216,8.231,1041.201,205.764,26030.021,1049.431
STATIC_PARTITIONING,1024,1024,1024,700,1255.59,1.256,528.605,23.993,1255.578,62.309,49.625,0.000,0.000,102.104,81.319,0.823,0.451,1.006,318,98.360,20.618,1236.923,64.836,3889.696,1257.541,227,97.917,17.759,834.885,78.233,3677.908,852.644,112,97.276,17.237,615.591,153.899,5496.348,632.828,43,98.610,14.026,994.848,326.188,23135.992,1008.874
STATIC_PARTITIONING,1024,1024,1024,750,1336.27,1.336,557.592,15.187,1336.252,66.735,49.941,0.000,0.000,141.717,106.054,0.765,0.395,0.886,339,98.772,16.458,1323.272,48.547,3903.458,1339.730,245,98.186,16.533,895.002,67.482,3653.070,911.535,120,97.754,15.096,656.933,125.796,5474.446,672.029,46,99.168,9.449,1126.146,205.413,24481.428,1135.595
STATIC_PARTITIONING,1024,1024,1024,800,1417.96,1.418,590.751,14.187,1417.939,68.975,48.644,0.000,0.000,140.228,98.894,0.740,0.344,0.889,360,98.909,15.511,1405.919,43.087,3905.329,1421.430,263,98.311,16.530,962.008,62.853,3657.825,978.538,129,97.910,15.044,704.832,116.619,5463.814,719.876,48,99.265,8.445,1140.307,175.939,23756.405,1148.753
STATIC_PARTITIONING,1024,1024,1024,850,1503.82,1.504,628.202,16.788,1503.801,74.432,49.496,0.000,0.000,57.159,38.009,0.731,0.330,0.845,380,98.699,19.663,1492.036,51.745,3926.411,1511.699,281,98.200,19.191,1046.896,68.297,3725.608,1066.087,138,97.892,16.101,747.656,116.676,5417.795,763.757,51,98.920,13.024,1192.878,255.373,23389.765,1205.902
STATIC_PARTITIONING,1024,1024,1024,900,1576.52,1.577,662.375,9.988,1576.500,84.134,53.367,0.000,0.000,79.932,50.702,0.816,0.359,0.980,401,98.986,16.063,1568.020,40.059,3910.274,1584.083,299,98.502,17.101,1124.337,57.195,3760.325,1141.438,146,98.234,14.122,785.726,96.729,5381.683,799.848,54,99.455,8.609,1569.990,159.426,29073.888,1578.599
STATIC_PARTITIONING,1024,1024,1024,950,1544.79,1.545,624.935,25.202,1544.773,76.404,49.459,0.000,0.000,81.136,52.522,0.794,0.335,0.928,422,98.278,26.655,1521.642,63.163,3605.787,1548.297,316,97.192,22.732,786.903,71.936,2490.199,809.635,155,97.731,22.023,948.401,142.087,6118.719,970.425,57,98.224,22.833,1262.958,400.587,22157.161,1285.792
STATIC_PARTITIONING,1024,1024,1024,1000,1755.23,1.755,741.312,25.200,1755.205,84.192,47.966,0.000,0.000,112.307,63.984,0.786,0.349,0.861,443,98.633,24.050,1735.076,54.288,3916.650,1759.126,334,98.107,24.366,1262.730,72.951,3780.629,1287.096,163,97.834,19.409,876.784,119.074,5379.045,896.194,60,98.865,16.022,1396.155,267.030,23269.247,1412.177
